#Timeout: 10
#Number of formulas: 100000
Formula;sat;time;aux
eq0.txt.smt2;unsat;0.02
eq1.txt.smt2;unsat;0.01
eq10.txt.smt2;unsat;0.02
eq100.txt.smt2;sat;0.43
eq1000.txt.smt2;unsat;0.02
eq10000.txt.smt2;unsat;0.02
eq10001.txt.smt2;unsat;0.01
eq10002.txt.smt2;unsat;0.01
eq10003.txt.smt2;unsat;0.01
eq10004.txt.smt2;unsat;0.01
eq10005.txt.smt2;sat;0.22
eq10006.txt.smt2;unsat;0.01
eq10007.txt.smt2;unsat;0.01
eq10008.txt.smt2;unsat;0.01
eq10009.txt.smt2;unsat;0.01
eq1001.txt.smt2;unsat;0.01
eq10010.txt.smt2;unsat;0.01
eq10011.txt.smt2;unsat;0.01
eq10012.txt.smt2;unsat;0.01
eq10013.txt.smt2;sat;3.07
eq10014.txt.smt2;unsat;0.02
eq10015.txt.smt2;sat;5.06
eq10016.txt.smt2;sat;4.87
eq10017.txt.smt2;sat;3.14
eq10018.txt.smt2;TO;TO
eq10019.txt.smt2;unsat;0.02
eq1002.txt.smt2;unsat;0.01
eq10020.txt.smt2;unsat;0.02
eq10021.txt.smt2;unsat;0.02
eq10022.txt.smt2;unsat;0.01
eq10023.txt.smt2;TO;TO
eq10024.txt.smt2;TO;TO
eq10025.txt.smt2;sat;5.04
eq10026.txt.smt2;sat;3.12
eq10027.txt.smt2;TO;TO
eq10028.txt.smt2;unsat;0.01
eq10029.txt.smt2;unsat;0.01
eq1003.txt.smt2;unsat;0.01
eq10030.txt.smt2;unsat;0.01
eq10031.txt.smt2;unsat;0.01
eq10032.txt.smt2;sat;0.52
eq10033.txt.smt2;sat;0.54
eq10034.txt.smt2;unsat;0.05
eq10035.txt.smt2;unsat;0.04
eq10036.txt.smt2;unsat;0.01
eq10037.txt.smt2;unsat;0.01
eq10038.txt.smt2;unsat;0.01
eq10039.txt.smt2;unsat;0.01
eq1004.txt.smt2;unsat;0.01
eq10040.txt.smt2;unsat;0.01
eq10041.txt.smt2;unsat;0.01
eq10042.txt.smt2;unsat;0.01
eq10043.txt.smt2;unsat;0.01
eq10044.txt.smt2;unsat;0.01
eq10045.txt.smt2;unsat;0.01
eq10046.txt.smt2;unsat;0.01
eq10047.txt.smt2;unsat;0.01
eq10048.txt.smt2;unsat;0.01
eq10049.txt.smt2;unsat;0.01
eq1005.txt.smt2;unsat;0.01
eq10050.txt.smt2;unsat;0.01
eq10051.txt.smt2;unsat;0.01
eq10052.txt.smt2;unsat;0.01
eq10053.txt.smt2;unsat;0.01
eq10054.txt.smt2;unsat;0.01
eq10055.txt.smt2;unsat;0.01
eq10056.txt.smt2;unsat;0.01
eq10057.txt.smt2;unsat;0.01
eq10058.txt.smt2;unsat;0.01
eq10059.txt.smt2;unsat;0.01
eq1006.txt.smt2;unsat;0.01
eq10060.txt.smt2;unsat;0.01
eq10061.txt.smt2;unsat;0.01
eq10062.txt.smt2;unsat;0.01
eq10063.txt.smt2;unsat;0.01
eq10064.txt.smt2;unsat;0.01
eq10065.txt.smt2;unsat;0.01
eq10066.txt.smt2;unsat;0.01
eq10067.txt.smt2;unsat;0.01
eq10068.txt.smt2;unsat;0.01
eq10069.txt.smt2;unsat;0.01
eq1007.txt.smt2;unsat;0.01
eq10070.txt.smt2;unsat;0.01
eq10071.txt.smt2;unsat;0.01
eq10072.txt.smt2;unsat;0.01
eq10073.txt.smt2;sat;0.22
eq10074.txt.smt2;unsat;0.01
eq10075.txt.smt2;unsat;0.01
eq10076.txt.smt2;sat;1.63
eq10077.txt.smt2;unsat;0.01
eq10078.txt.smt2;unsat;0.01
eq10079.txt.smt2;unsat;0.01
eq1008.txt.smt2;unsat;0.02
eq10080.txt.smt2;unsat;0.01
eq10081.txt.smt2;unsat;0.01
eq10082.txt.smt2;unsat;0.01
eq10083.txt.smt2;unsat;0.01
eq10084.txt.smt2;unsat;0.01
eq10085.txt.smt2;unsat;0.01
eq10086.txt.smt2;unsat;0.01
eq10087.txt.smt2;unsat;0.01
eq10088.txt.smt2;unsat;0.01
eq10089.txt.smt2;unsat;0.01
eq1009.txt.smt2;unsat;0.02
eq10090.txt.smt2;unsat;0.01
eq10091.txt.smt2;unsat;0.01
eq10092.txt.smt2;sat;0.48
eq10093.txt.smt2;unsat;0.01
eq10094.txt.smt2;unsat;0.01
eq10095.txt.smt2;unsat;0.03
eq10096.txt.smt2;unsat;0.01
eq10097.txt.smt2;unsat;0.01
eq10098.txt.smt2;unsat;0.01
eq10099.txt.smt2;unsat;0.01
eq101.txt.smt2;sat;0.38
eq1010.txt.smt2;unsat;0.01
eq10100.txt.smt2;unsat;0.03
eq10101.txt.smt2;sat;0.48
eq10102.txt.smt2;unsat;0.01
eq10103.txt.smt2;unsat;0.01
eq10104.txt.smt2;unsat;0.01
eq10105.txt.smt2;unsat;0.01
eq10106.txt.smt2;unsat;0.01
eq10107.txt.smt2;unsat;0.01
eq10108.txt.smt2;unsat;0.01
eq10109.txt.smt2;unsat;0.01
eq1011.txt.smt2;unsat;0.01
eq10110.txt.smt2;unsat;0.01
eq10111.txt.smt2;unsat;0.01
eq10112.txt.smt2;unsat;0.01
eq10113.txt.smt2;unsat;0.01
eq10114.txt.smt2;unsat;0.01
eq10115.txt.smt2;unsat;0.01
eq10116.txt.smt2;unsat;0.01
eq10117.txt.smt2;TO;TO
eq10118.txt.smt2;TO;TO
eq10119.txt.smt2;unsat;0.07
eq1012.txt.smt2;unsat;0.02
eq10120.txt.smt2;unsat;0.07
eq10121.txt.smt2;TO;TO
eq10122.txt.smt2;TO;TO
eq10123.txt.smt2;TO;TO
eq10124.txt.smt2;TO;TO
eq10125.txt.smt2;unsat;0.02
eq10126.txt.smt2;unsat;0.01
eq10127.txt.smt2;unsat;0.01
eq10128.txt.smt2;unsat;0.01
eq10129.txt.smt2;unsat;0.01
eq1013.txt.smt2;unsat;0.01
eq10130.txt.smt2;unsat;0.02
eq10131.txt.smt2;unsat;0.02
eq10132.txt.smt2;unsat;0.02
eq10133.txt.smt2;sat;1.87
eq10134.txt.smt2;sat;1.68
eq10135.txt.smt2;sat;0.18
eq10136.txt.smt2;sat;0.18
eq10137.txt.smt2;unsat;0.01
eq10138.txt.smt2;unsat;0.0
eq10139.txt.smt2;unsat;0.0
eq1014.txt.smt2;unsat;0.01
eq10140.txt.smt2;unsat;0.01
eq10141.txt.smt2;unsat;0.01
eq10142.txt.smt2;unsat;0.01
eq10143.txt.smt2;unsat;0.01
eq10144.txt.smt2;unsat;0.01
eq10145.txt.smt2;unsat;0.01
eq10146.txt.smt2;unsat;0.01
eq10147.txt.smt2;unsat;0.01
