#Timeout: 10
#Number of formulas: 1000
Formula;sat;time;aux
eq242.txt.smt2;sat;0.23;True
eq243.txt.smt2;sat;1.09;True
eq244.txt.smt2;sat;0.4;True
eq245.txt.smt2;sat;0.23;True
eq246.txt.smt2;sat;0.38;True
eq247.txt.smt2;sat;0.26;True
eq248.txt.smt2;sat;3.21;True
eq249.txt.smt2;sat;0.33;True
eq25.txt.smt2;sat;0.26;True
eq250.txt.smt2;sat;0.4;True
eq251.txt.smt2;sat;1.74;True
eq252.txt.smt2;sat;0.22;True
eq253.txt.smt2;sat;0.97;True
eq254.txt.smt2;sat;0.29;True
eq255.txt.smt2;sat;0.4;True
eq256.txt.smt2;sat;0.87;True
eq257.txt.smt2;sat;1.08;True
eq258.txt.smt2;sat;0.27;True
eq259.txt.smt2;sat;1.07;True
eq26.txt.smt2;sat;0.24;True
eq260.txt.smt2;sat;0.29;True
eq261.txt.smt2;sat;0.32;True
eq262.txt.smt2;sat;0.21;True
eq263.txt.smt2;sat;0.34;True
eq264.txt.smt2;sat;0.17;True
eq265.txt.smt2;sat;0.33;True
eq266.txt.smt2;sat;0.24;True
eq267.txt.smt2;sat;0.22;True
eq268.txt.smt2;sat;0.32;True
eq269.txt.smt2;sat;0.28;True
eq27.txt.smt2;sat;0.33;True
eq270.txt.smt2;sat;1.92;True
eq271.txt.smt2;sat;0.23;True
eq272.txt.smt2;sat;0.32;True
eq273.txt.smt2;sat;0.26;True
eq274.txt.smt2;sat;0.26;True
eq275.txt.smt2;sat;0.4;True
eq276.txt.smt2;sat;0.4;True
eq277.txt.smt2;sat;0.33;True
eq278.txt.smt2;sat;0.26;True
eq279.txt.smt2;sat;0.35;True
eq28.txt.smt2;sat;0.33;True
eq280.txt.smt2;sat;0.26;True
eq281.txt.smt2;sat;0.4;True
eq282.txt.smt2;sat;0.26;True
eq283.txt.smt2;sat;0.23;True
eq284.txt.smt2;sat;0.22;True
eq285.txt.smt2;sat;0.4;True
eq286.txt.smt2;sat;0.2;True
eq287.txt.smt2;TO;TO;TO
eq288.txt.smt2;sat;0.27;True
eq289.txt.smt2;sat;0.26;True
eq29.txt.smt2;sat;0.26;True
eq290.txt.smt2;sat;0.4;True
eq291.txt.smt2;sat;0.4;True
eq292.txt.smt2;sat;0.35;True
eq293.txt.smt2;sat;0.4;True
eq294.txt.smt2;sat;0.26;True
eq295.txt.smt2;sat;0.4;True
eq296.txt.smt2;sat;0.4;True
eq297.txt.smt2;sat;0.26;True
eq298.txt.smt2;sat;1.07;True
eq299.txt.smt2;sat;1.62;True
eq3.txt.smt2;sat;0.23;True
eq30.txt.smt2;sat;1.84;True
eq300.txt.smt2;sat;0.88;True
eq301.txt.smt2;sat;0.33;True
eq302.txt.smt2;sat;0.4;True
eq303.txt.smt2;sat;0.79;True
eq304.txt.smt2;sat;0.23;True
eq305.txt.smt2;sat;0.4;True
eq306.txt.smt2;sat;0.27;True
eq307.txt.smt2;sat;0.33;True
eq308.txt.smt2;sat;0.33;True
eq309.txt.smt2;sat;0.38;True
eq31.txt.smt2;sat;0.33;True
eq310.txt.smt2;sat;0.4;True
eq311.txt.smt2;sat;0.39;True
eq312.txt.smt2;sat;0.33;True
eq313.txt.smt2;sat;0.4;True
eq314.txt.smt2;sat;1.07;True
eq315.txt.smt2;sat;0.35;True
eq316.txt.smt2;sat;0.22;True
eq317.txt.smt2;sat;0.26;True
eq318.txt.smt2;sat;0.26;True
eq319.txt.smt2;sat;0.4;True
eq32.txt.smt2;sat;0.23;True
eq320.txt.smt2;sat;0.27;True
eq321.txt.smt2;sat;0.79;True
eq322.txt.smt2;sat;0.35;True
eq323.txt.smt2;sat;0.39;True
eq324.txt.smt2;sat;0.26;True
eq325.txt.smt2;sat;1.1;True
eq326.txt.smt2;sat;0.33;True
eq327.txt.smt2;sat;1.08;True
eq328.txt.smt2;sat;0.23;True
eq329.txt.smt2;TO;TO;TO
eq33.txt.smt2;sat;1.08;True
eq330.txt.smt2;sat;1.33;True
eq331.txt.smt2;sat;0.33;True
eq332.txt.smt2;sat;0.23;True
eq333.txt.smt2;sat;0.39;True
eq334.txt.smt2;sat;0.26;True
eq335.txt.smt2;sat;0.87;True
eq336.txt.smt2;sat;0.32;True
eq337.txt.smt2;sat;0.4;True
eq338.txt.smt2;sat;0.26;True
eq339.txt.smt2;sat;0.22;True
eq34.txt.smt2;sat;0.38;True
eq340.txt.smt2;sat;0.22;True
eq341.txt.smt2;sat;0.22;True
eq342.txt.smt2;sat;0.27;True
eq343.txt.smt2;sat;0.2;True
eq344.txt.smt2;sat;1.38;True
eq345.txt.smt2;sat;0.33;True
eq346.txt.smt2;sat;1.07;True
eq347.txt.smt2;sat;0.23;True
eq348.txt.smt2;sat;0.79;True
eq349.txt.smt2;sat;0.26;True
eq35.txt.smt2;sat;0.35;True
eq350.txt.smt2;sat;0.2;True
eq351.txt.smt2;sat;0.33;True
eq352.txt.smt2;sat;0.33;True
eq353.txt.smt2;sat;0.23;True
eq354.txt.smt2;sat;1.38;True
eq355.txt.smt2;sat;0.27;True
eq356.txt.smt2;sat;0.33;True
eq357.txt.smt2;sat;0.33;True
eq358.txt.smt2;sat;0.23;True
eq359.txt.smt2;sat;0.31;True
eq36.txt.smt2;sat;0.39;True
eq360.txt.smt2;sat;0.4;True
eq361.txt.smt2;sat;0.26;True
eq362.txt.smt2;sat;0.33;True
eq363.txt.smt2;sat;0.38;True
eq364.txt.smt2;sat;0.33;True
eq365.txt.smt2;sat;0.28;True
eq366.txt.smt2;sat;0.26;True
eq367.txt.smt2;sat;0.26;True
eq368.txt.smt2;sat;0.26;True
eq369.txt.smt2;sat;0.23;True
eq37.txt.smt2;sat;0.27;True
eq370.txt.smt2;sat;1.08;True
eq371.txt.smt2;sat;0.4;True
eq372.txt.smt2;sat;0.26;True
eq373.txt.smt2;sat;0.39;True
eq374.txt.smt2;sat;0.23;True
eq375.txt.smt2;sat;0.39;True
eq376.txt.smt2;sat;0.23;True
eq377.txt.smt2;sat;0.38;True
eq378.txt.smt2;sat;0.33;True
eq379.txt.smt2;sat;0.22;True
eq38.txt.smt2;sat;0.28;True
eq380.txt.smt2;sat;1.09;True
eq381.txt.smt2;sat;0.34;True
eq382.txt.smt2;sat;0.33;True
eq383.txt.smt2;sat;0.33;True
eq384.txt.smt2;sat;1.1;True
eq385.txt.smt2;sat;0.4;True
eq386.txt.smt2;sat;0.4;True
eq387.txt.smt2;sat;1.09;True
eq388.txt.smt2;sat;0.39;True
eq389.txt.smt2;sat;0.79;True
eq39.txt.smt2;sat;0.39;True
eq390.txt.smt2;sat;0.2;True
eq391.txt.smt2;sat;0.33;True
eq392.txt.smt2;sat;0.23;True
eq393.txt.smt2;sat;0.2;True
eq394.txt.smt2;sat;0.22;True
eq395.txt.smt2;sat;0.38;True
eq396.txt.smt2;sat;0.26;True
eq397.txt.smt2;sat;0.39;True
eq398.txt.smt2;sat;0.39;True
eq399.txt.smt2;sat;0.4;True
eq4.txt.smt2;sat;0.27;True
eq40.txt.smt2;sat;0.39;True
eq400.txt.smt2;sat;0.26;True
eq401.txt.smt2;sat;0.39;True
eq402.txt.smt2;sat;0.4;True
eq403.txt.smt2;sat;0.2;True
eq404.txt.smt2;sat;0.39;True
eq405.txt.smt2;sat;0.39;True
eq406.txt.smt2;sat;0.4;True
eq407.txt.smt2;sat;0.22;True
eq408.txt.smt2;sat;0.33;True
eq409.txt.smt2;sat;0.28;True
eq41.txt.smt2;sat;0.39;True
eq410.txt.smt2;sat;0.23;True
eq411.txt.smt2;sat;0.35;True
eq412.txt.smt2;sat;0.33;True
eq413.txt.smt2;sat;1.89;True
eq414.txt.smt2;sat;0.33;True
eq415.txt.smt2;sat;0.77;True
eq416.txt.smt2;sat;1.73;True
eq417.txt.smt2;sat;0.29;True
eq418.txt.smt2;sat;0.27;True
eq419.txt.smt2;sat;0.23;True
eq42.txt.smt2;sat;0.2;True
eq420.txt.smt2;sat;0.22;True
eq421.txt.smt2;sat;0.26;True
eq422.txt.smt2;sat;0.32;True
eq423.txt.smt2;sat;0.19;True
eq424.txt.smt2;sat;0.39;True
eq425.txt.smt2;sat;0.22;True
eq426.txt.smt2;sat;0.39;True
eq427.txt.smt2;sat;0.26;True
eq428.txt.smt2;sat;0.26;True
eq429.txt.smt2;sat;1.7;True
eq43.txt.smt2;sat;0.26;True
eq430.txt.smt2;sat;0.38;True
eq431.txt.smt2;sat;1.11;True
eq432.txt.smt2;sat;0.23;True
eq433.txt.smt2;sat;0.26;True
eq434.txt.smt2;sat;0.89;True
eq435.txt.smt2;sat;0.4;True
eq436.txt.smt2;sat;0.27;True
eq437.txt.smt2;sat;0.4;True
eq438.txt.smt2;sat;0.4;True
eq439.txt.smt2;sat;0.33;True
eq44.txt.smt2;sat;1.06;True
eq440.txt.smt2;sat;0.26;True
eq441.txt.smt2;sat;0.29;True
eq442.txt.smt2;sat;0.4;True
eq443.txt.smt2;sat;0.23;True
eq444.txt.smt2;sat;0.27;True
eq445.txt.smt2;sat;0.33;True
eq446.txt.smt2;sat;1.08;True
eq447.txt.smt2;sat;1.08;True
eq448.txt.smt2;sat;0.22;True
eq449.txt.smt2;sat;0.26;True
eq45.txt.smt2;sat;0.39;True
eq450.txt.smt2;sat;0.87;True
eq451.txt.smt2;sat;0.23;True
eq452.txt.smt2;sat;0.4;True
eq453.txt.smt2;sat;0.39;True
eq454.txt.smt2;sat;0.39;True
eq455.txt.smt2;sat;1.09;True
eq456.txt.smt2;sat;0.23;True
eq457.txt.smt2;sat;0.23;True
eq458.txt.smt2;sat;1.74;True
eq459.txt.smt2;sat;0.23;True
eq46.txt.smt2;sat;0.33;True
eq460.txt.smt2;sat;0.22;True
eq461.txt.smt2;sat;0.33;True
eq462.txt.smt2;sat;1.09;True
eq463.txt.smt2;sat;0.22;True
eq464.txt.smt2;sat;0.4;True
eq465.txt.smt2;sat;0.26;True
eq466.txt.smt2;sat;0.22;True
eq467.txt.smt2;sat;0.33;True
eq468.txt.smt2;sat;0.3;True
eq469.txt.smt2;sat;0.27;True
eq47.txt.smt2;sat;0.88;True
eq470.txt.smt2;sat;0.22;True
eq471.txt.smt2;sat;1.33;True
eq472.txt.smt2;sat;0.27;True
eq473.txt.smt2;sat;0.33;True
eq474.txt.smt2;sat;0.4;True
eq475.txt.smt2;sat;1.08;True
eq476.txt.smt2;sat;0.23;True
eq477.txt.smt2;sat;0.86;True
eq478.txt.smt2;sat;0.23;True
eq479.txt.smt2;sat;0.33;True
eq48.txt.smt2;sat;0.32;True
eq480.txt.smt2;sat;1.74;True
eq481.txt.smt2;sat;0.26;True
eq482.txt.smt2;sat;0.87;True
eq483.txt.smt2;sat;0.4;True
eq484.txt.smt2;sat;0.4;True
eq485.txt.smt2;sat;0.27;True
eq486.txt.smt2;sat;0.23;True
eq487.txt.smt2;sat;0.35;True
eq488.txt.smt2;sat;0.24;True
eq489.txt.smt2;sat;0.27;True
eq49.txt.smt2;sat;0.41;True
eq490.txt.smt2;sat;0.39;True
eq491.txt.smt2;sat;0.33;True
eq492.txt.smt2;sat;1.08;True
eq493.txt.smt2;sat;0.33;True
eq494.txt.smt2;sat;0.26;True
eq495.txt.smt2;sat;0.23;True
eq496.txt.smt2;sat;0.35;True
eq497.txt.smt2;sat;0.33;True
eq498.txt.smt2;sat;0.4;True
eq499.txt.smt2;sat;0.33;True
eq5.txt.smt2;sat;0.39;True
eq50.txt.smt2;sat;0.26;True
eq500.txt.smt2;sat;0.33;True
eq501.txt.smt2;sat;0.38;True
eq502.txt.smt2;sat;0.33;True
eq503.txt.smt2;sat;0.23;True
eq504.txt.smt2;sat;0.26;True
eq505.txt.smt2;sat;0.4;True
eq506.txt.smt2;sat;0.33;True
eq507.txt.smt2;sat;0.26;True
eq508.txt.smt2;sat;0.4;True
eq509.txt.smt2;sat;0.33;True
eq51.txt.smt2;sat;0.33;True
eq510.txt.smt2;sat;0.33;True
eq511.txt.smt2;sat;0.33;True
eq512.txt.smt2;sat;0.38;True
eq513.txt.smt2;sat;0.4;True
eq514.txt.smt2;sat;0.4;True
eq515.txt.smt2;sat;0.26;True
eq516.txt.smt2;sat;0.33;True
eq517.txt.smt2;sat;0.33;True
eq518.txt.smt2;sat;0.26;True
eq519.txt.smt2;sat;0.39;True
eq52.txt.smt2;sat;0.33;True
eq520.txt.smt2;sat;1.38;True
eq521.txt.smt2;TO;TO;TO
eq522.txt.smt2;sat;0.27;True
eq523.txt.smt2;sat;0.34;True
eq524.txt.smt2;sat;0.23;True
eq525.txt.smt2;sat;1.76;True
eq526.txt.smt2;sat;0.35;True
eq527.txt.smt2;sat;0.22;True
eq528.txt.smt2;sat;0.22;True
eq529.txt.smt2;sat;3.24;True
eq53.txt.smt2;sat;0.26;True
eq530.txt.smt2;sat;0.26;True
eq531.txt.smt2;sat;0.2;True
eq532.txt.smt2;sat;1.09;True
eq533.txt.smt2;sat;0.22;True
eq534.txt.smt2;sat;0.33;True
eq535.txt.smt2;sat;0.99;True
eq536.txt.smt2;sat;0.2;True
eq537.txt.smt2;sat;0.33;True
eq538.txt.smt2;sat;0.22;True
eq539.txt.smt2;sat;0.22;True
eq54.txt.smt2;TO;TO;TO
eq540.txt.smt2;sat;0.36;True
eq541.txt.smt2;sat;0.39;True
eq542.txt.smt2;sat;0.29;True
eq543.txt.smt2;sat;0.27;True
eq544.txt.smt2;sat;1.07;True
eq545.txt.smt2;sat;0.26;True
eq546.txt.smt2;sat;0.33;True
eq547.txt.smt2;sat;0.33;True
eq548.txt.smt2;sat;0.38;True
eq549.txt.smt2;sat;0.33;True
eq55.txt.smt2;sat;0.33;True
eq550.txt.smt2;sat;0.4;True
eq551.txt.smt2;sat;0.35;True
eq552.txt.smt2;TO;TO;TO
eq553.txt.smt2;sat;0.2;True
eq554.txt.smt2;sat;0.22;True
eq555.txt.smt2;sat;0.4;True
eq556.txt.smt2;sat;0.39;True
eq557.txt.smt2;sat;0.22;True
eq558.txt.smt2;sat;0.38;True
eq559.txt.smt2;sat;0.33;True
eq56.txt.smt2;sat;0.22;True
eq560.txt.smt2;sat;0.33;True
eq561.txt.smt2;sat;0.26;True
eq562.txt.smt2;sat;0.34;True
eq563.txt.smt2;sat;0.33;True
eq564.txt.smt2;sat;0.33;True
eq565.txt.smt2;sat;0.22;True
eq566.txt.smt2;sat;0.33;True
eq567.txt.smt2;sat;0.35;True
eq568.txt.smt2;sat;0.22;True
eq569.txt.smt2;sat;0.22;True
eq57.txt.smt2;sat;0.33;True
eq570.txt.smt2;sat;0.4;True
eq571.txt.smt2;sat;0.22;True
eq572.txt.smt2;sat;0.23;True
eq573.txt.smt2;sat;0.4;True
eq574.txt.smt2;sat;0.23;True
eq575.txt.smt2;sat;0.38;True
eq576.txt.smt2;sat;0.26;True
eq577.txt.smt2;sat;0.26;True
eq578.txt.smt2;sat;0.33;True
eq579.txt.smt2;sat;0.4;True
eq58.txt.smt2;sat;1.09;True
eq580.txt.smt2;sat;0.33;True
eq581.txt.smt2;sat;0.22;True
eq582.txt.smt2;sat;0.33;True
eq583.txt.smt2;sat;3.26;True
eq584.txt.smt2;sat;3.58;True
eq585.txt.smt2;sat;0.33;True
eq586.txt.smt2;sat;0.38;True
eq587.txt.smt2;sat;0.26;True
eq588.txt.smt2;sat;0.4;True
eq589.txt.smt2;sat;0.26;True
eq59.txt.smt2;sat;0.4;True
eq590.txt.smt2;sat;0.28;True
eq591.txt.smt2;sat;0.33;True
eq592.txt.smt2;sat;0.4;True
eq593.txt.smt2;sat;0.33;True
eq594.txt.smt2;sat;0.39;True
eq595.txt.smt2;sat;0.4;True
eq596.txt.smt2;sat;0.33;True
eq597.txt.smt2;sat;0.24;True
eq598.txt.smt2;sat;0.26;True
