# Timeout: 10
# Number of formulas: 1000
Formula; sat; time
eq161.txt.smt2; sat           ; 0.1
eq162.txt.smt2; sat           ; 0.06
eq163.txt.smt2; sat           ; 0.1
eq164.txt.smt2; sat           ; 0.1
eq165.txt.smt2; sat           ; 0.04
eq166.txt.smt2; sat           ; 0.05
eq167.txt.smt2; sat           ; 0.1
eq168.txt.smt2; sat           ; 0.1
eq169.txt.smt2; sat           ; 0.07
eq17.txt.smt2; sat            ; 0.05
eq170.txt.smt2; sat           ; 0.07
eq171.txt.smt2; sat           ; 0.05
eq172.txt.smt2; sat           ; 0.07
eq173.txt.smt2; sat           ; 0.08
eq174.txt.smt2; sat           ; 0.08
eq175.txt.smt2; sat           ; 0.07
eq176.txt.smt2; sat           ; 0.06
eq177.txt.smt2; sat           ; 0.09
eq178.txt.smt2; sat           ; 0.08
eq179.txt.smt2; sat           ; 0.1
eq18.txt.smt2; sat            ; 0.05
eq180.txt.smt2; sat           ; 0.02
eq181.txt.smt2; sat           ; 0.02
eq182.txt.smt2; sat           ; 0.13
eq183.txt.smt2; sat           ; 0.09
eq184.txt.smt2; sat           ; 0.07
eq185.txt.smt2; sat           ; 0.08
eq186.txt.smt2; sat           ; 0.04
eq187.txt.smt2; sat           ; 0.07
eq188.txt.smt2; sat           ; 0.33
eq189.txt.smt2; sat           ; 0.09
eq19.txt.smt2; sat            ; 0.07
eq190.txt.smt2; sat           ; 0.05
eq191.txt.smt2; sat           ; 0.1
eq192.txt.smt2; sat           ; 0.14
eq193.txt.smt2; sat           ; 0.04
eq194.txt.smt2; sat           ; 0.1
eq195.txt.smt2; sat           ; 0.05
eq196.txt.smt2; sat           ; 0.03
eq197.txt.smt2; sat           ; 0.1
eq198.txt.smt2; sat           ; 0.1
eq199.txt.smt2; sat           ; 0.09
eq2.txt.smt2; sat             ; 0.02
eq20.txt.smt2; sat            ; 0.06
eq200.txt.smt2; sat           ; 0.03
eq201.txt.smt2; sat           ; 0.06
eq202.txt.smt2; sat           ; 0.04
eq203.txt.smt2; sat           ; 0.03
eq204.txt.smt2; sat           ; 0.09
eq205.txt.smt2; sat           ; 0.05
eq206.txt.smt2; sat           ; 0.09
eq207.txt.smt2; sat           ; 0.07
eq208.txt.smt2; sat           ; 0.05
eq209.txt.smt2; sat           ; 0.08
eq21.txt.smt2; sat            ; 0.08
eq210.txt.smt2; sat           ; 0.08
eq211.txt.smt2; sat           ; 0.03
eq212.txt.smt2; sat           ; 0.08
eq213.txt.smt2; sat           ; 0.09
eq214.txt.smt2; sat           ; 0.02
eq215.txt.smt2; sat           ; 0.04
eq216.txt.smt2; sat           ; 0.04
eq217.txt.smt2; sat           ; 0.05
eq218.txt.smt2; sat           ; 0.1
eq219.txt.smt2; sat           ; 0.07
eq22.txt.smt2; sat            ; 0.05
eq220.txt.smt2; sat           ; 0.07
eq221.txt.smt2; sat           ; 0.05
eq222.txt.smt2; sat           ; 0.09
eq223.txt.smt2; sat           ; 0.08
eq224.txt.smt2; sat           ; 0.05
eq225.txt.smt2; sat           ; 0.05
eq226.txt.smt2; sat           ; 0.07
eq227.txt.smt2; sat           ; 0.09
eq228.txt.smt2; sat           ; 0.05
eq229.txt.smt2; sat           ; 0.1
eq23.txt.smt2; sat            ; 0.1
eq230.txt.smt2; sat           ; 0.07
eq231.txt.smt2; sat           ; 0.08
eq232.txt.smt2; sat           ; 0.15
eq233.txt.smt2; sat           ; 0.1
eq234.txt.smt2; sat           ; 0.08
eq235.txt.smt2; sat           ; 0.07
eq236.txt.smt2; sat           ; 0.04
eq237.txt.smt2; sat           ; 0.11
eq238.txt.smt2; sat           ; 0.05
eq239.txt.smt2; sat           ; 0.08
eq24.txt.smt2; sat            ; 0.03
eq240.txt.smt2; sat           ; 0.08
eq241.txt.smt2; sat           ; 0.1
eq242.txt.smt2; sat           ; 0.02
eq243.txt.smt2; sat           ; 0.06
eq244.txt.smt2; sat           ; 0.09
eq245.txt.smt2; sat           ; 0.03
eq246.txt.smt2; sat           ; 0.07
eq247.txt.smt2; sat           ; 0.05
eq248.txt.smt2; sat           ; 0.17
eq249.txt.smt2; sat           ; 0.03
eq25.txt.smt2; sat            ; 0.04
eq250.txt.smt2; sat           ; 0.06
eq251.txt.smt2; sat           ; 0.09
eq252.txt.smt2; sat           ; 0.04
eq253.txt.smt2; sat           ; 0.1
eq254.txt.smt2; sat           ; 0.06
eq255.txt.smt2; sat           ; 0.1
eq256.txt.smt2; sat           ; 0.07
eq257.txt.smt2; sat           ; 0.1
eq258.txt.smt2; sat           ; 0.04
eq259.txt.smt2; sat           ; 0.09
eq26.txt.smt2; sat            ; 0.04
eq260.txt.smt2; sat           ; 0.04
eq261.txt.smt2; sat           ; 0.03
eq262.txt.smt2; sat           ; 0.02
eq263.txt.smt2; sat           ; 0.06
eq264.txt.smt2; sat           ; 0.02
eq265.txt.smt2; sat           ; 0.09
eq266.txt.smt2; sat           ; 0.05
eq267.txt.smt2; sat           ; 0.05
eq268.txt.smt2; sat           ; 0.07
eq269.txt.smt2; sat           ; 0.03
eq27.txt.smt2; sat            ; 0.05
eq270.txt.smt2; sat           ; 0.06
eq271.txt.smt2; sat           ; 0.04
eq272.txt.smt2; sat           ; 0.06
eq273.txt.smt2; sat           ; 0.04
eq274.txt.smt2; sat           ; 0.05
eq275.txt.smt2; sat           ; 0.1
eq276.txt.smt2; sat           ; 0.1
eq277.txt.smt2; sat           ; 0.08
eq278.txt.smt2; sat           ; 0.07
eq279.txt.smt2; sat           ; 0.07
eq28.txt.smt2; sat            ; 0.06
eq280.txt.smt2; sat           ; 0.06
eq281.txt.smt2; sat           ; 0.1
eq282.txt.smt2; sat           ; 0.07
eq283.txt.smt2; sat           ; 0.03
eq284.txt.smt2; sat           ; 0.04
eq285.txt.smt2; sat           ; 0.08
eq286.txt.smt2; sat           ; 0.01
eq287.txt.smt2; sat           ; 0.14
eq288.txt.smt2; sat           ; 0.08
eq289.txt.smt2; sat           ; 0.05
eq29.txt.smt2; sat            ; 0.04
eq290.txt.smt2; sat           ; 0.1
eq291.txt.smt2; sat           ; 0.13
eq292.txt.smt2; sat           ; 0.07
eq293.txt.smt2; sat           ; 0.1
eq294.txt.smt2; sat           ; 0.07
eq295.txt.smt2; sat           ; 0.09
