# Timeout: 10
# Number of formulas: 1000
Formula; sat; time
eq691.txt.smt2; sat           ; 0.02
eq692.txt.smt2; sat           ; 0.07
eq693.txt.smt2; sat           ; 0.1
eq694.txt.smt2; sat           ; 0.06
eq695.txt.smt2; sat           ; 0.1
eq696.txt.smt2; sat           ; 0.06
eq697.txt.smt2; sat           ; 0.07
eq698.txt.smt2; sat           ; 0.04
eq699.txt.smt2; sat           ; 0.14
eq7.txt.smt2; sat             ; 0.02
eq70.txt.smt2; sat            ; 0.04
eq700.txt.smt2; sat           ; 0.06
eq701.txt.smt2; sat           ; 0.08
eq702.txt.smt2; sat           ; 0.08
eq703.txt.smt2; sat           ; 0.05
eq704.txt.smt2; sat           ; 0.04
eq705.txt.smt2; sat           ; 0.07
eq706.txt.smt2; sat           ; 0.09
eq707.txt.smt2; sat           ; 0.05
eq708.txt.smt2; sat           ; 0.03
eq709.txt.smt2; sat           ; 0.07
eq71.txt.smt2; sat            ; 0.02
eq710.txt.smt2; sat           ; 0.05
eq711.txt.smt2; sat           ; 0.06
eq712.txt.smt2; sat           ; 0.1
eq713.txt.smt2; sat           ; 0.02
eq714.txt.smt2; sat           ; 0.03
eq715.txt.smt2; sat           ; 0.07
eq716.txt.smt2; sat           ; 0.09
eq717.txt.smt2; sat           ; 0.03
eq718.txt.smt2; sat           ; 0.09
eq719.txt.smt2; sat           ; 0.09
eq72.txt.smt2; sat            ; 0.05
eq720.txt.smt2; sat           ; 0.04
eq721.txt.smt2; sat           ; 0.09
eq722.txt.smt2; sat           ; 0.07
eq723.txt.smt2; sat           ; 0.06
eq724.txt.smt2; sat           ; 0.04
eq725.txt.smt2; sat           ; 0.02
eq726.txt.smt2; sat           ; 0.08
eq727.txt.smt2; sat           ; 0.1
eq728.txt.smt2; sat           ; 0.03
eq729.txt.smt2; sat           ; 0.04
eq73.txt.smt2; sat            ; 0.1
eq730.txt.smt2; sat           ; 0.07
eq731.txt.smt2; sat           ; 0.05
eq732.txt.smt2; sat           ; 0.06
eq733.txt.smt2; sat           ; 0.02
eq734.txt.smt2; sat           ; 0.06
eq735.txt.smt2; sat           ; 0.07
eq736.txt.smt2; sat           ; 0.05
eq737.txt.smt2; sat           ; 0.05
eq738.txt.smt2; sat           ; 0.04
eq739.txt.smt2; sat           ; 0.13
eq74.txt.smt2; sat            ; 0.05
eq740.txt.smt2; sat           ; 0.09
eq741.txt.smt2; sat           ; 0.14
eq742.txt.smt2; sat           ; 0.07
eq743.txt.smt2; sat           ; 0.05
eq744.txt.smt2; sat           ; 0.05
eq745.txt.smt2; sat           ; 0.08
eq746.txt.smt2; sat           ; 0.02
eq747.txt.smt2; sat           ; 0.1
eq748.txt.smt2; sat           ; 0.09
eq749.txt.smt2; sat           ; 0.07
eq75.txt.smt2; sat            ; 0.05
eq750.txt.smt2; sat           ; 0.09
eq751.txt.smt2; sat           ; 0.06
eq752.txt.smt2; sat           ; 0.02
eq753.txt.smt2; sat           ; 0.11
eq754.txt.smt2; sat           ; 0.04
eq755.txt.smt2; sat           ; 0.07
eq756.txt.smt2; sat           ; 0.05
eq757.txt.smt2; sat           ; 0.03
eq758.txt.smt2; sat           ; 0.08
eq759.txt.smt2; sat           ; 0.1
eq76.txt.smt2; sat            ; 0.08
eq760.txt.smt2; sat           ; 0.07
eq761.txt.smt2; sat           ; 0.09
eq762.txt.smt2; sat           ; 0.03
eq763.txt.smt2; sat           ; 0.05
eq764.txt.smt2; sat           ; 0.05
eq765.txt.smt2; sat           ; 0.05
eq766.txt.smt2; sat           ; 0.07
eq767.txt.smt2; sat           ; 0.09
eq768.txt.smt2; sat           ; 0.07
eq769.txt.smt2; sat           ; 0.04
eq77.txt.smt2; sat            ; 0.07
eq770.txt.smt2; sat           ; 0.04
eq771.txt.smt2; sat           ; 0.08
eq772.txt.smt2; sat           ; 0.14
eq773.txt.smt2; sat           ; 0.05
eq774.txt.smt2; sat           ; 0.07
eq775.txt.smt2; sat           ; 0.07
eq776.txt.smt2; sat           ; 0.06
eq777.txt.smt2; sat           ; 0.02
eq778.txt.smt2; sat           ; 0.04
eq779.txt.smt2; sat           ; 0.1
eq78.txt.smt2; sat            ; 0.02
eq780.txt.smt2; sat           ; 0.05
eq781.txt.smt2; sat           ; 0.07
eq782.txt.smt2; sat           ; 0.06
eq783.txt.smt2; sat           ; 0.07
eq784.txt.smt2; sat           ; 0.04
eq785.txt.smt2; sat           ; 0.07
eq786.txt.smt2; sat           ; 0.1
eq787.txt.smt2; sat           ; 0.04
eq788.txt.smt2; sat           ; 0.04
eq789.txt.smt2; sat           ; 0.04
eq79.txt.smt2; sat            ; 0.04
eq790.txt.smt2; sat           ; 0.04
eq791.txt.smt2; sat           ; 0.06
eq792.txt.smt2; sat           ; 0.02
eq793.txt.smt2; sat           ; 0.04
eq794.txt.smt2; sat           ; 0.1
eq795.txt.smt2; sat           ; 0.1
eq796.txt.smt2; sat           ; 0.03
eq797.txt.smt2; sat           ; 0.08
eq798.txt.smt2; sat           ; 0.1
eq799.txt.smt2; sat           ; 0.09
eq8.txt.smt2; sat             ; 0.03
eq80.txt.smt2; sat            ; 0.09
eq800.txt.smt2; sat           ; 0.14
eq801.txt.smt2; sat           ; 0.09
eq802.txt.smt2; sat           ; 0.09
eq803.txt.smt2; sat           ; 0.14
eq804.txt.smt2; sat           ; 0.09
eq805.txt.smt2; sat           ; 0.08
eq806.txt.smt2; sat           ; 0.14
eq807.txt.smt2; sat           ; 0.07
eq808.txt.smt2; sat           ; 0.02
eq809.txt.smt2; sat           ; 0.08
eq81.txt.smt2; sat            ; 0.09
eq810.txt.smt2; sat           ; 0.1
eq811.txt.smt2; sat           ; 0.05
eq812.txt.smt2; sat           ; 0.1
eq813.txt.smt2; sat           ; 0.07
eq814.txt.smt2; sat           ; 0.1
eq815.txt.smt2; sat           ; 0.08
eq816.txt.smt2; sat           ; 0.06
eq817.txt.smt2; sat           ; 0.04
eq818.txt.smt2; sat           ; 0.09
eq819.txt.smt2; sat           ; 0.04
eq82.txt.smt2; sat            ; 0.03
eq820.txt.smt2; sat           ; 0.04
eq821.txt.smt2; sat           ; 0.09
eq822.txt.smt2; sat           ; 0.09
eq823.txt.smt2; sat           ; 0.03
eq824.txt.smt2; sat           ; 0.05
eq825.txt.smt2; sat           ; 0.03
eq826.txt.smt2; sat           ; 0.02
eq827.txt.smt2; sat           ; 0.02
eq828.txt.smt2; sat           ; 0.03
eq829.txt.smt2; sat           ; 0.04
eq83.txt.smt2; sat            ; 0.1
eq830.txt.smt2; sat           ; 0.14
eq831.txt.smt2; sat           ; 0.15
eq832.txt.smt2; sat           ; 0.06
eq833.txt.smt2; sat           ; 0.09
eq834.txt.smt2; sat           ; 0.04
eq835.txt.smt2; sat           ; 0.09
eq836.txt.smt2; sat           ; 0.07
eq837.txt.smt2; sat           ; 0.07
eq838.txt.smt2; sat           ; 0.09
eq839.txt.smt2; sat           ; 0.07
eq84.txt.smt2; sat            ; 0.1
eq840.txt.smt2; sat           ; 0.06
eq841.txt.smt2; sat           ; 0.09
eq842.txt.smt2; sat           ; 0.07
eq843.txt.smt2; sat           ; 0.08
eq844.txt.smt2; sat           ; 0.04
eq845.txt.smt2; sat           ; 0.06
eq846.txt.smt2; sat           ; 0.07
eq847.txt.smt2; sat           ; 0.09
eq848.txt.smt2; sat           ; 0.09
eq849.txt.smt2; sat           ; 0.04
eq85.txt.smt2; sat            ; 0.05
eq850.txt.smt2; sat           ; 0.04
eq851.txt.smt2; sat           ; 0.07
eq852.txt.smt2; sat           ; 0.02
eq853.txt.smt2; sat           ; 0.07
eq854.txt.smt2; sat           ; 0.1
eq855.txt.smt2; sat           ; 0.1
eq856.txt.smt2; sat           ; 0.09
eq857.txt.smt2; sat           ; 0.04
eq858.txt.smt2; sat           ; 0.06
eq859.txt.smt2; sat           ; 0.09
eq86.txt.smt2; sat            ; 0.14
eq860.txt.smt2; sat           ; 0.07
eq861.txt.smt2; sat           ; 0.09
eq862.txt.smt2; sat           ; 0.08
eq863.txt.smt2; sat           ; 0.07
eq864.txt.smt2; sat           ; 0.09
eq865.txt.smt2; sat           ; 0.07
eq866.txt.smt2; sat           ; 0.1
eq867.txt.smt2; sat           ; 0.08
eq868.txt.smt2; sat           ; 0.03
eq869.txt.smt2; sat           ; 2.6
eq87.txt.smt2; sat            ; 0.1
eq870.txt.smt2; sat           ; 0.08
eq871.txt.smt2; sat           ; 0.1
eq872.txt.smt2; sat           ; 0.03
eq873.txt.smt2; sat           ; 0.09
eq874.txt.smt2; sat           ; 0.05
eq875.txt.smt2; sat           ; 0.05
eq876.txt.smt2; sat           ; 0.04
eq877.txt.smt2; sat           ; 0.05
eq878.txt.smt2; sat           ; 0.14
eq879.txt.smt2; sat           ; 0.06
eq88.txt.smt2; sat            ; 0.05
eq880.txt.smt2; sat           ; 0.13
eq881.txt.smt2; sat           ; 0.04
eq882.txt.smt2; sat           ; 0.05
eq883.txt.smt2; sat           ; 0.07
eq884.txt.smt2; sat           ; 0.05
eq885.txt.smt2; sat           ; 0.03
eq886.txt.smt2; sat           ; 0.04
eq887.txt.smt2; sat           ; 0.06
eq888.txt.smt2; sat           ; 0.09
eq889.txt.smt2; sat           ; 0.03
eq89.txt.smt2; sat            ; 0.04
eq890.txt.smt2; sat           ; 0.04
eq891.txt.smt2; sat           ; 0.05
eq892.txt.smt2; sat           ; 0.04
eq893.txt.smt2; sat           ; 0.04
eq894.txt.smt2; sat           ; 0.03
eq895.txt.smt2; sat           ; 0.06
eq896.txt.smt2; sat           ; 0.08
eq897.txt.smt2; sat           ; 0.03
eq9.txt.smt2; sat             ; 0.07
eq90.txt.smt2; sat            ; 0.05
eq91.txt.smt2; sat            ; 0.1
eq92.txt.smt2; sat            ; 0.09
eq93.txt.smt2; sat            ; 0.07
eq94.txt.smt2; sat            ; 0.07
eq95.txt.smt2; sat            ; 0.09
eq96.txt.smt2; sat            ; 0.05
eq97.txt.smt2; sat            ; 0.1
eq98.txt.smt2; sat            ; 0.08
eq99.txt.smt2; sat            ; 0.03
