#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
eq225.txt.smt2; sat                        ;	 0.15
eq226.txt.smt2; sat                        ;	 0.06
eq227.txt.smt2; TO                         ;	 TO
eq228.txt.smt2; TO                         ;	 TO
eq229.txt.smt2; TO                         ;	 TO
eq23.txt.smt2; sat                         ;	 0.25
eq230.txt.smt2; sat                        ;	 1.05
eq231.txt.smt2; sat                        ;	 3.85
eq232.txt.smt2; TO                         ;	 TO
eq233.txt.smt2; TO                         ;	 TO
eq234.txt.smt2; TO                         ;	 TO
eq235.txt.smt2; TO                         ;	 TO
eq236.txt.smt2; sat                        ;	 0.16
eq237.txt.smt2; sat                        ;	 0.16
eq238.txt.smt2; sat                        ;	 0.08
eq239.txt.smt2; sat                        ;	 0.4
eq24.txt.smt2; sat                         ;	 0.06
eq240.txt.smt2; TO                         ;	 TO
eq241.txt.smt2; sat                        ;	 0.08
eq242.txt.smt2; sat                        ;	 0.02
eq243.txt.smt2; TO                         ;	 TO
eq244.txt.smt2; sat                        ;	 0.06
eq245.txt.smt2; sat                        ;	 0.05
eq246.txt.smt2; sat                        ;	 0.19
eq247.txt.smt2; sat                        ;	 0.04
eq248.txt.smt2; TO                         ;	 TO
eq249.txt.smt2; TO                         ;	 TO
eq25.txt.smt2; sat                         ;	 0.09
eq250.txt.smt2; sat                        ;	 0.09
eq251.txt.smt2; TO                         ;	 TO
eq252.txt.smt2; sat                        ;	 0.1
eq253.txt.smt2; TO                         ;	 TO
eq254.txt.smt2; sat                        ;	 0.12
eq255.txt.smt2; TO                         ;	 TO
eq256.txt.smt2; TO                         ;	 TO
eq257.txt.smt2; TO                         ;	 TO
eq258.txt.smt2; TO                         ;	 TO
eq259.txt.smt2; TO                         ;	 TO
eq26.txt.smt2; sat                         ;	 0.13
eq260.txt.smt2; TO                         ;	 TO
eq261.txt.smt2; sat                        ;	 4.16
eq262.txt.smt2; sat                        ;	 0.05
eq263.txt.smt2; sat                        ;	 0.54
eq264.txt.smt2; sat                        ;	 0.04
eq265.txt.smt2; sat                        ;	 0.2
eq266.txt.smt2; sat                        ;	 0.09
eq267.txt.smt2; TO                         ;	 TO
eq268.txt.smt2; sat                        ;	 0.08
eq269.txt.smt2; sat                        ;	 0.11
eq27.txt.smt2; TO                          ;	 TO
eq270.txt.smt2; TO                         ;	 TO
eq271.txt.smt2; sat                        ;	 0.1
eq272.txt.smt2; sat                        ;	 3.16
eq273.txt.smt2; sat                        ;	 0.1
eq274.txt.smt2; sat                        ;	 0.2
eq275.txt.smt2; TO                         ;	 TO
eq276.txt.smt2; sat                        ;	 0.13
eq277.txt.smt2; TO                         ;	 TO
eq278.txt.smt2; sat                        ;	 0.09
