# Timeout: 10
# Number of formulas: 1000
Formula; sat; time; check
eq60.txt.smt2; TO             ; TO   ; TO
eq600.txt.smt2; TO            ; TO   ; TO
eq601.txt.smt2; TO            ; TO   ; TO
eq602.txt.smt2; TO            ; TO   ; TO
eq603.txt.smt2; TO            ; TO   ; TO
eq604.txt.smt2; Sat           ; 2.65 ; True
eq605.txt.smt2; TO            ; TO   ; TO
eq606.txt.smt2; TO            ; TO   ; TO
eq607.txt.smt2; TO            ; TO   ; TO
eq608.txt.smt2; TO            ; TO   ; TO
eq609.txt.smt2; TO            ; TO   ; TO
eq61.txt.smt2; TO             ; TO   ; TO
eq610.txt.smt2; TO            ; TO   ; TO
eq611.txt.smt2; TO            ; TO   ; TO
eq612.txt.smt2; TO            ; TO   ; TO
eq613.txt.smt2; TO            ; TO   ; TO
eq614.txt.smt2; TO            ; TO   ; TO
eq615.txt.smt2; TO            ; TO   ; TO
eq616.txt.smt2; TO            ; TO   ; TO
eq617.txt.smt2; TO            ; TO   ; TO
eq618.txt.smt2; TO            ; TO   ; TO
eq619.txt.smt2; TO            ; TO   ; TO
eq62.txt.smt2; TO             ; TO   ; TO
eq620.txt.smt2; TO            ; TO   ; TO
eq621.txt.smt2; TO            ; TO   ; TO
eq622.txt.smt2; TO            ; TO   ; TO
eq623.txt.smt2; Sat           ; 2.73 ; True
eq624.txt.smt2; TO            ; TO   ; TO
eq625.txt.smt2; TO            ; TO   ; TO
eq626.txt.smt2; TO            ; TO   ; TO
eq627.txt.smt2; Sat           ; 2.78 ; True
eq628.txt.smt2; TO            ; TO   ; TO
eq629.txt.smt2; Sat           ; 2.61 ; True
eq63.txt.smt2; Sat            ; 2.18 ; True
eq630.txt.smt2; TO            ; TO   ; TO
eq631.txt.smt2; TO            ; TO   ; TO
eq632.txt.smt2; TO            ; TO   ; TO
eq633.txt.smt2; Sat           ; 2.64 ; True
eq634.txt.smt2; Sat           ; 2.64 ; True
eq635.txt.smt2; TO            ; TO   ; TO
eq636.txt.smt2; TO            ; TO   ; TO
eq637.txt.smt2; TO            ; TO   ; TO
eq638.txt.smt2; TO            ; TO   ; TO
eq639.txt.smt2; TO            ; TO   ; TO
eq64.txt.smt2; TO             ; TO   ; TO
eq640.txt.smt2; Sat           ; 2.49 ; True
eq641.txt.smt2; TO            ; TO   ; TO
eq642.txt.smt2; Sat           ; 2.61 ; True
eq643.txt.smt2; TO            ; TO   ; TO
eq644.txt.smt2; TO            ; TO   ; TO
eq645.txt.smt2; TO            ; TO   ; TO
eq646.txt.smt2; TO            ; TO   ; TO
eq647.txt.smt2; TO            ; TO   ; TO
eq648.txt.smt2; TO            ; TO   ; TO
eq649.txt.smt2; TO            ; TO   ; TO
eq65.txt.smt2; TO             ; TO   ; TO
eq650.txt.smt2; Sat           ; 2.58 ; True
eq651.txt.smt2; TO            ; TO   ; TO
eq652.txt.smt2; TO            ; TO   ; TO
eq653.txt.smt2; TO            ; TO   ; TO
eq654.txt.smt2; Sat           ; 2.61 ; True
eq655.txt.smt2; TO            ; TO   ; TO
eq656.txt.smt2; TO            ; TO   ; TO
eq657.txt.smt2; TO            ; TO   ; TO
eq658.txt.smt2; TO            ; TO   ; TO
eq659.txt.smt2; TO            ; TO   ; TO
eq66.txt.smt2; TO             ; TO   ; TO
eq660.txt.smt2; TO            ; TO   ; TO
eq661.txt.smt2; Sat           ; 2.61 ; True
eq662.txt.smt2; TO            ; TO   ; TO
eq663.txt.smt2; TO            ; TO   ; TO
eq664.txt.smt2; TO            ; TO   ; TO
eq665.txt.smt2; TO            ; TO   ; TO
eq666.txt.smt2; TO            ; TO   ; TO
eq667.txt.smt2; TO            ; TO   ; TO
eq668.txt.smt2; TO            ; TO   ; TO
eq669.txt.smt2; TO            ; TO   ; TO
eq67.txt.smt2; TO             ; TO   ; TO
eq670.txt.smt2; TO            ; TO   ; TO
eq671.txt.smt2; Sat           ; 2.61 ; True
eq672.txt.smt2; TO            ; TO   ; TO
eq673.txt.smt2; TO            ; TO   ; TO
eq674.txt.smt2; Sat           ; 2.62 ; True
eq675.txt.smt2; TO            ; TO   ; TO
eq676.txt.smt2; TO            ; TO   ; TO
eq677.txt.smt2; TO            ; TO   ; TO
eq678.txt.smt2; TO            ; TO   ; TO
eq679.txt.smt2; TO            ; TO   ; TO
eq68.txt.smt2; TO             ; TO   ; TO
eq680.txt.smt2; TO            ; TO   ; TO
eq681.txt.smt2; TO            ; TO   ; TO
eq682.txt.smt2; TO            ; TO   ; TO
eq683.txt.smt2; TO            ; TO   ; TO
eq684.txt.smt2; TO            ; TO   ; TO
eq685.txt.smt2; Sat           ; 2.54 ; True
eq686.txt.smt2; Sat           ; 2.63 ; True
eq687.txt.smt2; TO            ; TO   ; TO
eq688.txt.smt2; TO            ; TO   ; TO
eq689.txt.smt2; TO            ; TO   ; TO
eq69.txt.smt2; TO             ; TO   ; TO
eq690.txt.smt2; TO            ; TO   ; TO
eq691.txt.smt2; Sat           ; 2.11 ; True
eq692.txt.smt2; TO            ; TO   ; TO
eq693.txt.smt2; TO            ; TO   ; TO
eq694.txt.smt2; TO            ; TO   ; TO
eq695.txt.smt2; TO            ; TO   ; TO
eq696.txt.smt2; TO            ; TO   ; TO
eq697.txt.smt2; TO            ; TO   ; TO
eq698.txt.smt2; Sat           ; 2.71 ; True
eq699.txt.smt2; TO            ; TO   ; TO
eq7.txt.smt2; Sat             ; 2.66 ; True
eq70.txt.smt2; TO             ; TO   ; TO
eq700.txt.smt2; TO            ; TO   ; TO
eq701.txt.smt2; TO            ; TO   ; TO
eq702.txt.smt2; TO            ; TO   ; TO
eq703.txt.smt2; TO            ; TO   ; TO
eq704.txt.smt2; TO            ; TO   ; TO
eq705.txt.smt2; TO            ; TO   ; TO
eq706.txt.smt2; TO            ; TO   ; TO
eq707.txt.smt2; TO            ; TO   ; TO
eq708.txt.smt2; Sat           ; 2.66 ; True
eq709.txt.smt2; TO            ; TO   ; TO
eq71.txt.smt2; Sat            ; 2.53 ; True
eq710.txt.smt2; TO            ; TO   ; TO
eq711.txt.smt2; TO            ; TO   ; TO
eq712.txt.smt2; TO            ; TO   ; TO
eq713.txt.smt2; Sat           ; 2.19 ; True
eq714.txt.smt2; Sat           ; 2.62 ; True
eq715.txt.smt2; TO            ; TO   ; TO
eq716.txt.smt2; TO            ; TO   ; TO
eq717.txt.smt2; Sat           ; 2.68 ; True
eq718.txt.smt2; TO            ; TO   ; TO
eq719.txt.smt2; TO            ; TO   ; TO
eq72.txt.smt2; TO             ; TO   ; TO
eq720.txt.smt2; TO            ; TO   ; TO
eq721.txt.smt2; TO            ; TO   ; TO
eq722.txt.smt2; TO            ; TO   ; TO
eq723.txt.smt2; TO            ; TO   ; TO
eq724.txt.smt2; TO            ; TO   ; TO
eq725.txt.smt2; TO            ; TO   ; TO
eq726.txt.smt2; TO            ; TO   ; TO
eq727.txt.smt2; TO            ; TO   ; TO
eq728.txt.smt2; TO            ; TO   ; TO
eq729.txt.smt2; TO            ; TO   ; TO
eq73.txt.smt2; TO             ; TO   ; TO
eq730.txt.smt2; TO            ; TO   ; TO
eq731.txt.smt2; TO            ; TO   ; TO
eq732.txt.smt2; TO            ; TO   ; TO
eq733.txt.smt2; Sat           ; 2.58 ; True
eq734.txt.smt2; TO            ; TO   ; TO
eq735.txt.smt2; TO            ; TO   ; TO
eq736.txt.smt2; TO            ; TO   ; TO
eq737.txt.smt2; TO            ; TO   ; TO
eq738.txt.smt2; TO            ; TO   ; TO
eq739.txt.smt2; TO            ; TO   ; TO
eq74.txt.smt2; TO             ; TO   ; TO
eq740.txt.smt2; TO            ; TO   ; TO
eq741.txt.smt2; TO            ; TO   ; TO
eq742.txt.smt2; TO            ; TO   ; TO
eq743.txt.smt2; TO            ; TO   ; TO
eq744.txt.smt2; TO            ; TO   ; TO
eq745.txt.smt2; TO            ; TO   ; TO
eq746.txt.smt2; Sat           ; 2.06 ; True
eq747.txt.smt2; TO            ; TO   ; TO
eq748.txt.smt2; TO            ; TO   ; TO
eq749.txt.smt2; TO            ; TO   ; TO
eq75.txt.smt2; TO             ; TO   ; TO
eq750.txt.smt2; TO            ; TO   ; TO
eq751.txt.smt2; TO            ; TO   ; TO
eq752.txt.smt2; Sat           ; 2.16 ; True
eq753.txt.smt2; TO            ; TO   ; TO
eq754.txt.smt2; TO            ; TO   ; TO
eq755.txt.smt2; TO            ; TO   ; TO
eq756.txt.smt2; TO            ; TO   ; TO
eq757.txt.smt2; TO            ; TO   ; TO
eq758.txt.smt2; TO            ; TO   ; TO
eq759.txt.smt2; TO            ; TO   ; TO
eq76.txt.smt2; TO             ; TO   ; TO
eq760.txt.smt2; TO            ; TO   ; TO
eq761.txt.smt2; TO            ; TO   ; TO
eq762.txt.smt2; TO            ; TO   ; TO
eq763.txt.smt2; TO            ; TO   ; TO
eq764.txt.smt2; TO            ; TO   ; TO
eq765.txt.smt2; TO            ; TO   ; TO
eq766.txt.smt2; TO            ; TO   ; TO
eq767.txt.smt2; TO            ; TO   ; TO
eq768.txt.smt2; TO            ; TO   ; TO
eq769.txt.smt2; TO            ; TO   ; TO
eq77.txt.smt2; TO             ; TO   ; TO
eq770.txt.smt2; Sat           ; 2.61 ; True
eq771.txt.smt2; TO            ; TO   ; TO
eq772.txt.smt2; TO            ; TO   ; TO
eq773.txt.smt2; TO            ; TO   ; TO
eq774.txt.smt2; TO            ; TO   ; TO
eq775.txt.smt2; TO            ; TO   ; TO
eq776.txt.smt2; TO            ; TO   ; TO
eq777.txt.smt2; Sat           ; 2.05 ; True
eq778.txt.smt2; Sat           ; 2.69 ; True
eq779.txt.smt2; TO            ; TO   ; TO
eq78.txt.smt2; Sat            ; 2.72 ; True
eq780.txt.smt2; TO            ; TO   ; TO
eq781.txt.smt2; TO            ; TO   ; TO
eq782.txt.smt2; TO            ; TO   ; TO
eq783.txt.smt2; TO            ; TO   ; TO
eq784.txt.smt2; Sat           ; 2.62 ; True
eq785.txt.smt2; TO            ; TO   ; TO
eq786.txt.smt2; TO            ; TO   ; TO
eq787.txt.smt2; TO            ; TO   ; TO
eq788.txt.smt2; Sat           ; 2.66 ; True
eq789.txt.smt2; Sat           ; 2.61 ; True
eq79.txt.smt2; TO             ; TO   ; TO
eq790.txt.smt2; TO            ; TO   ; TO
eq791.txt.smt2; TO            ; TO   ; TO
eq792.txt.smt2; Sat           ; 2.67 ; True
eq793.txt.smt2; TO            ; TO   ; TO
eq794.txt.smt2; TO            ; TO   ; TO
eq795.txt.smt2; TO            ; TO   ; TO
eq796.txt.smt2; TO            ; TO   ; TO
eq797.txt.smt2; TO            ; TO   ; TO
eq798.txt.smt2; TO            ; TO   ; TO
eq799.txt.smt2; TO            ; TO   ; TO
eq8.txt.smt2; TO              ; TO   ; TO
eq80.txt.smt2; TO             ; TO   ; TO
eq800.txt.smt2; TO            ; TO   ; TO
eq801.txt.smt2; TO            ; TO   ; TO
eq802.txt.smt2; TO            ; TO   ; TO
eq803.txt.smt2; TO            ; TO   ; TO
eq804.txt.smt2; TO            ; TO   ; TO
eq805.txt.smt2; TO            ; TO   ; TO
eq806.txt.smt2; TO            ; TO   ; TO
eq807.txt.smt2; TO            ; TO   ; TO
eq808.txt.smt2; Sat           ; 2.26 ; True
eq809.txt.smt2; TO            ; TO   ; TO
eq81.txt.smt2; TO             ; TO   ; TO
eq810.txt.smt2; TO            ; TO   ; TO
eq811.txt.smt2; TO            ; TO   ; TO
eq812.txt.smt2; TO            ; TO   ; TO
eq813.txt.smt2; TO            ; TO   ; TO
eq814.txt.smt2; TO            ; TO   ; TO
eq815.txt.smt2; TO            ; TO   ; TO
eq816.txt.smt2; TO            ; TO   ; TO
eq817.txt.smt2; TO            ; TO   ; TO
eq818.txt.smt2; TO            ; TO   ; TO
eq819.txt.smt2; TO            ; TO   ; TO
eq82.txt.smt2; Sat            ; 2.5  ; True
eq820.txt.smt2; TO            ; TO   ; TO
eq821.txt.smt2; TO            ; TO   ; TO
eq822.txt.smt2; TO            ; TO   ; TO
eq823.txt.smt2; TO            ; TO   ; TO
eq824.txt.smt2; TO            ; TO   ; TO
eq825.txt.smt2; TO            ; TO   ; TO
eq826.txt.smt2; Sat           ; 2.65 ; True
eq827.txt.smt2; Sat           ; 2.17 ; True
eq828.txt.smt2; Sat           ; 2.69 ; True
eq829.txt.smt2; TO            ; TO   ; TO
eq83.txt.smt2; TO             ; TO   ; TO
eq830.txt.smt2; TO            ; TO   ; TO
eq831.txt.smt2; TO            ; TO   ; TO
eq832.txt.smt2; TO            ; TO   ; TO
eq833.txt.smt2; TO            ; TO   ; TO
eq834.txt.smt2; Sat           ; 2.74 ; True
eq835.txt.smt2; TO            ; TO   ; TO
eq836.txt.smt2; TO            ; TO   ; TO
eq837.txt.smt2; TO            ; TO   ; TO
eq838.txt.smt2; TO            ; TO   ; TO
eq839.txt.smt2; TO            ; TO   ; TO
eq84.txt.smt2; TO             ; TO   ; TO
eq840.txt.smt2; TO            ; TO   ; TO
eq841.txt.smt2; TO            ; TO   ; TO
eq842.txt.smt2; TO            ; TO   ; TO
eq843.txt.smt2; TO            ; TO   ; TO
eq844.txt.smt2; Sat           ; 2.64 ; True
eq845.txt.smt2; TO            ; TO   ; TO
eq846.txt.smt2; TO            ; TO   ; TO
eq847.txt.smt2; TO            ; TO   ; TO
eq848.txt.smt2; TO            ; TO   ; TO
eq849.txt.smt2; TO            ; TO   ; TO
eq85.txt.smt2; TO             ; TO   ; TO
eq850.txt.smt2; TO            ; TO   ; TO
eq851.txt.smt2; TO            ; TO   ; TO
eq852.txt.smt2; Sat           ; 2.61 ; True
eq853.txt.smt2; TO            ; TO   ; TO
eq854.txt.smt2; TO            ; TO   ; TO
eq855.txt.smt2; TO            ; TO   ; TO
eq856.txt.smt2; TO            ; TO   ; TO
eq857.txt.smt2; Sat           ; 2.61 ; True
eq858.txt.smt2; TO            ; TO   ; TO
eq859.txt.smt2; TO            ; TO   ; TO
eq86.txt.smt2; TO             ; TO   ; TO
eq860.txt.smt2; TO            ; TO   ; TO
eq861.txt.smt2; TO            ; TO   ; TO
eq862.txt.smt2; TO            ; TO   ; TO
eq863.txt.smt2; TO            ; TO   ; TO
eq864.txt.smt2; TO            ; TO   ; TO
eq865.txt.smt2; TO            ; TO   ; TO
eq866.txt.smt2; TO            ; TO   ; TO
eq867.txt.smt2; TO            ; TO   ; TO
eq868.txt.smt2; Sat           ; 2.68 ; True
eq869.txt.smt2; TO            ; TO   ; TO
eq87.txt.smt2; TO             ; TO   ; TO
eq870.txt.smt2; TO            ; TO   ; TO
eq871.txt.smt2; TO            ; TO   ; TO
eq872.txt.smt2; TO            ; TO   ; TO
eq873.txt.smt2; TO            ; TO   ; TO
eq874.txt.smt2; TO            ; TO   ; TO
eq875.txt.smt2; TO            ; TO   ; TO
eq876.txt.smt2; TO            ; TO   ; TO
eq877.txt.smt2; TO            ; TO   ; TO
eq878.txt.smt2; TO            ; TO   ; TO
eq879.txt.smt2; TO            ; TO   ; TO
eq88.txt.smt2; TO             ; TO   ; TO
eq880.txt.smt2; TO            ; TO   ; TO
eq881.txt.smt2; TO            ; TO   ; TO
eq882.txt.smt2; TO            ; TO   ; TO
eq883.txt.smt2; TO            ; TO   ; TO
eq884.txt.smt2; TO            ; TO   ; TO
eq885.txt.smt2; TO            ; TO   ; TO
eq886.txt.smt2; TO            ; TO   ; TO
eq887.txt.smt2; TO            ; TO   ; TO
eq888.txt.smt2; TO            ; TO   ; TO
eq889.txt.smt2; TO            ; TO   ; TO
eq89.txt.smt2; TO             ; TO   ; TO
eq890.txt.smt2; TO            ; TO   ; TO
eq891.txt.smt2; TO            ; TO   ; TO
eq892.txt.smt2; TO            ; TO   ; TO
eq893.txt.smt2; TO            ; TO   ; TO
eq894.txt.smt2; TO            ; TO   ; TO
eq895.txt.smt2; TO            ; TO   ; TO
eq896.txt.smt2; TO            ; TO   ; TO
eq897.txt.smt2; TO            ; TO   ; TO
eq9.txt.smt2; TO              ; TO   ; TO
eq90.txt.smt2; TO             ; TO   ; TO
eq91.txt.smt2; TO             ; TO   ; TO
eq92.txt.smt2; TO             ; TO   ; TO
eq93.txt.smt2; TO             ; TO   ; TO
eq94.txt.smt2; TO             ; TO   ; TO
eq95.txt.smt2; TO             ; TO   ; TO
eq96.txt.smt2; TO             ; TO   ; TO
eq97.txt.smt2; TO             ; TO   ; TO
eq98.txt.smt2; TO             ; TO   ; TO
eq99.txt.smt2; TO             ; TO   ; TO
