# Timeout: 10
# Number of formulas: 1000
Formula; sat; time; check
eq203.txt.smt2; TO            ; TO   ; TO
eq204.txt.smt2; TO            ; TO   ; TO
eq205.txt.smt2; TO            ; TO   ; TO
eq206.txt.smt2; TO            ; TO   ; TO
eq207.txt.smt2; TO            ; TO   ; TO
eq208.txt.smt2; TO            ; TO   ; TO
eq209.txt.smt2; TO            ; TO   ; TO
eq21.txt.smt2; TO             ; TO   ; TO
eq210.txt.smt2; TO            ; TO   ; TO
eq211.txt.smt2; TO            ; TO   ; TO
eq212.txt.smt2; TO            ; TO   ; TO
eq213.txt.smt2; TO            ; TO   ; TO
eq214.txt.smt2; TO            ; TO   ; TO
eq215.txt.smt2; TO            ; TO   ; TO
eq216.txt.smt2; TO            ; TO   ; TO
eq217.txt.smt2; TO            ; TO   ; TO
eq218.txt.smt2; TO            ; TO   ; TO
eq219.txt.smt2; TO            ; TO   ; TO
eq22.txt.smt2; TO             ; TO   ; TO
eq220.txt.smt2; TO            ; TO   ; TO
eq221.txt.smt2; TO            ; TO   ; TO
eq222.txt.smt2; TO            ; TO   ; TO
eq223.txt.smt2; TO            ; TO   ; TO
eq224.txt.smt2; TO            ; TO   ; TO
eq225.txt.smt2; TO            ; TO   ; TO
eq226.txt.smt2; TO            ; TO   ; TO
eq227.txt.smt2; TO            ; TO   ; TO
eq228.txt.smt2; TO            ; TO   ; TO
eq229.txt.smt2; TO            ; TO   ; TO
eq23.txt.smt2; TO             ; TO   ; TO
eq230.txt.smt2; TO            ; TO   ; TO
eq231.txt.smt2; TO            ; TO   ; TO
eq232.txt.smt2; TO            ; TO   ; TO
eq233.txt.smt2; TO            ; TO   ; TO
eq234.txt.smt2; TO            ; TO   ; TO
eq235.txt.smt2; TO            ; TO   ; TO
eq236.txt.smt2; TO            ; TO   ; TO
eq237.txt.smt2; TO            ; TO   ; TO
eq238.txt.smt2; TO            ; TO   ; TO
eq239.txt.smt2; TO            ; TO   ; TO
eq24.txt.smt2; TO             ; TO   ; TO
eq240.txt.smt2; TO            ; TO   ; TO
eq241.txt.smt2; TO            ; TO   ; TO
eq242.txt.smt2; Sat           ; 2.72 ; True
eq243.txt.smt2; TO            ; TO   ; TO
eq244.txt.smt2; TO            ; TO   ; TO
eq245.txt.smt2; Sat           ; 2.68 ; True
eq246.txt.smt2; TO            ; TO   ; TO
eq247.txt.smt2; TO            ; TO   ; TO
eq248.txt.smt2; TO            ; TO   ; TO
eq249.txt.smt2; TO            ; TO   ; TO
eq25.txt.smt2; TO             ; TO   ; TO
eq250.txt.smt2; TO            ; TO   ; TO
eq251.txt.smt2; TO            ; TO   ; TO
eq252.txt.smt2; Sat           ; 2.63 ; True
eq253.txt.smt2; TO            ; TO   ; TO
eq254.txt.smt2; TO            ; TO   ; TO
eq255.txt.smt2; TO            ; TO   ; TO
eq256.txt.smt2; TO            ; TO   ; TO
eq257.txt.smt2; TO            ; TO   ; TO
eq258.txt.smt2; TO            ; TO   ; TO
eq259.txt.smt2; TO            ; TO   ; TO
eq26.txt.smt2; TO             ; TO   ; TO
eq260.txt.smt2; TO            ; TO   ; TO
eq261.txt.smt2; TO            ; TO   ; TO
eq262.txt.smt2; Sat           ; 2.6  ; True
eq263.txt.smt2; TO            ; TO   ; TO
eq264.txt.smt2; Sat           ; 2.17 ; True
eq265.txt.smt2; TO            ; TO   ; TO
eq266.txt.smt2; TO            ; TO   ; TO
eq267.txt.smt2; TO            ; TO   ; TO
eq268.txt.smt2; TO            ; TO   ; TO
