#Timeout: 10
#Number of formulas: 1000
Formula;  sat; time; check
eq-hard.txt.smt2; sat         	;0.6 ;	 True
eq201.txt.smt2; sat           	;8.9 ;	 True
eq202.txt.smt2; sat           	;5.45;	 True
eq203.txt.smt2; sat           	;7.61;	 True
eq204.txt.smt2; sat           	;8.97;	 True
eq205.txt.smt2; sat           	;4.1 ;	 True
eq206.txt.smt2; sat           	;9.34;	 True
eq207.txt.smt2; TO            	;TO  ;	 TO
eq208.txt.smt2; sat           	;7.44;	 True
eq209.txt.smt2; TO            	;TO  ;	 TO
eq21.txt.smt2; TO             	;TO  ;	 TO
eq210.txt.smt2; TO            	;TO  ;	 TO
eq211.txt.smt2; TO            	;TO  ;	 TO
eq212.txt.smt2; sat           	;9.1 ;	 True
eq213.txt.smt2; TO            	;TO  ;	 TO
eq214.txt.smt2; sat           	;3.2 ;	 True
eq215.txt.smt2; sat           	;5.1 ;	 True
eq216.txt.smt2; sat           	;5.22;	 True
eq217.txt.smt2; sat           	;4.24;	 True
eq218.txt.smt2; TO            	;TO  ;	 TO
eq219.txt.smt2; sat           	;8.83;	 True
eq22.txt.smt2; sat            	;4.4 ;	 True
eq220.txt.smt2; sat           	;5.11;	 True
eq221.txt.smt2; sat           	;4.97;	 True
eq222.txt.smt2; TO            	;TO  ;	 TO
eq223.txt.smt2; TO            	;TO  ;	 TO
eq224.txt.smt2; sat           	;4.4 ;	 True
eq225.txt.smt2; TO            	;TO  ;	 TO
eq226.txt.smt2; sat           	;9.09;	 True
eq227.txt.smt2; sat           	;8.9 ;	 True
eq228.txt.smt2; sat           	;7.79;	 True
eq229.txt.smt2; TO            	;TO  ;	 TO
eq23.txt.smt2; sat            	;9.23;	 True
eq230.txt.smt2; sat           	;5.09;	 True
eq231.txt.smt2; TO            	;TO  ;	 TO
eq232.txt.smt2; TO            	;TO  ;	 TO
eq233.txt.smt2; TO            	;TO  ;	 TO
eq234.txt.smt2; TO            	;TO  ;	 TO
eq235.txt.smt2; sat           	;5.12;	 True
eq236.txt.smt2; TO            	;TO  ;	 TO
eq237.txt.smt2; TO            	;TO  ;	 TO
eq238.txt.smt2; sat           	;3.19;	 True
eq239.txt.smt2; TO            	;TO  ;	 TO
eq24.txt.smt2; sat            	;7.5 ;	 True
eq240.txt.smt2; TO            	;TO  ;	 TO
eq241.txt.smt2; TO            	;TO  ;	 TO
eq242.txt.smt2; sat           	;0.39;	 True
eq243.txt.smt2; TO            	;TO  ;	 TO
eq244.txt.smt2; TO            	;TO  ;	 TO
eq245.txt.smt2; sat           	;0.4 ;	 True
eq246.txt.smt2; TO            	;TO  ;	 TO
eq247.txt.smt2; sat           	;4.4 ;	 True
eq248.txt.smt2; TO            	;TO  ;	 TO
eq249.txt.smt2; sat           	;8.88;	 True
eq25.txt.smt2; sat            	;5.07;	 True
eq250.txt.smt2; TO            	;TO  ;	 TO
eq251.txt.smt2; TO            	;TO  ;	 TO
eq252.txt.smt2; sat           	;0.4 ;	 True
eq253.txt.smt2; TO            	;TO  ;	 TO
eq254.txt.smt2; sat           	;8.72;	 True
eq255.txt.smt2; sat           	;8.88;	 True
eq256.txt.smt2; TO            	;TO  ;	 TO
eq257.txt.smt2; TO            	;TO  ;	 TO
eq258.txt.smt2; sat           	;5.36;	 True
eq259.txt.smt2; TO            	;TO  ;	 TO
eq26.txt.smt2; sat            	;4.19;	 True
eq260.txt.smt2; sat           	;7.56;	 True
eq261.txt.smt2; sat           	;8.93;	 True
eq262.txt.smt2; sat           	;0.4 ;	 True
eq263.txt.smt2; sat           	;8.77;	 True
eq264.txt.smt2; sat           	;0.29;	 True
eq265.txt.smt2; TO            	;TO  ;	 TO
eq266.txt.smt2; sat           	;7.49;	 True
eq267.txt.smt2; sat           	;5.0 ;	 True
eq268.txt.smt2; sat           	;9.26;	 True
eq269.txt.smt2; sat           	;7.77;	 True
eq27.txt.smt2; TO             	;TO  ;	 TO
eq270.txt.smt2; TO            	;TO  ;	 TO
eq271.txt.smt2; sat           	;3.03;	 True
eq272.txt.smt2; TO            	;TO  ;	 TO
eq273.txt.smt2; sat           	;4.37;	 True
eq274.txt.smt2; sat           	;5.11;	 True
eq275.txt.smt2; sat           	;9.16;	 True
eq276.txt.smt2; TO            	;TO  ;	 TO
eq277.txt.smt2; TO            	;TO  ;	 TO
eq278.txt.smt2; sat           	;5.09;	 True
eq279.txt.smt2; sat           	;6.19;	 True
eq28.txt.smt2; sat            	;8.6 ;	 True
eq280.txt.smt2; sat           	;5.21;	 True
eq281.txt.smt2; TO            	;TO  ;	 TO
eq282.txt.smt2; sat           	;4.98;	 True
