Timeout: 10
Number of formulas: 1000
Formula: time, sat
eq292.txt: TO	 TO
eq293.txt: TO	 TO
eq294.txt: TO	 TO
eq295.txt: TO	 TO
eq296.txt: TO	 TO
eq297.txt: TO	 TO
eq298.txt: TO	 TO
eq299.txt: TO	 TO
eq3.txt: TO	 TO
eq30.txt: TO	 TO
eq300.txt: TO	 TO
eq301.txt: TO	 TO
eq302.txt: TO	 TO
eq303.txt: TO	 TO
eq304.txt: TO	 TO
eq305.txt: TO	 TO
eq306.txt: TO	 TO
eq307.txt: TO	 TO
eq308.txt: TO	 TO
eq309.txt: TO	 TO
eq31.txt: TO	 TO
eq310.txt: TO	 TO
eq311.txt: TO	 TO
eq312.txt: TO	 TO
eq313.txt: TO	 TO
eq314.txt: TO	 TO
eq315.txt: TO	 TO
eq316.txt: Sat	 5.51
eq317.txt: TO	 TO
eq318.txt: TO	 TO
eq319.txt: TO	 TO
eq32.txt: TO	 TO
eq320.txt: TO	 TO
eq321.txt: TO	 TO
eq322.txt: TO	 TO
eq323.txt: TO	 TO
eq324.txt: TO	 TO
eq325.txt: TO	 TO
eq326.txt: TO	 TO
eq327.txt: TO	 TO
eq328.txt: Sat	 5.66
eq329.txt: TO	 TO
eq33.txt: TO	 TO
eq330.txt: TO	 TO
eq331.txt: TO	 TO
eq332.txt: Sat	 5.74
eq333.txt: TO	 TO
eq334.txt: TO	 TO
eq335.txt: TO	 TO
eq336.txt: TO	 TO
eq337.txt: TO	 TO
eq338.txt: TO	 TO
eq339.txt: Sat	 5.84
eq34.txt: TO	 TO
eq340.txt: Sat	 5.75
eq341.txt: Sat	 5.64
eq342.txt: TO	 TO
eq343.txt: Sat	 3.57
eq344.txt: TO	 TO
eq345.txt: TO	 TO
eq346.txt: TO	 TO
eq347.txt: TO	 TO
eq348.txt: TO	 TO
eq349.txt: TO	 TO
eq35.txt: TO	 TO
eq350.txt: Sat	 3.49
eq351.txt: TO	 TO
eq352.txt: TO	 TO
eq353.txt: Sat	 5.74
eq354.txt: TO	 TO
eq355.txt: TO	 TO
eq356.txt: TO	 TO
eq357.txt: TO	 TO
eq358.txt: Sat	 5.71
eq359.txt: TO	 TO
eq36.txt: TO	 TO
eq360.txt: TO	 TO
eq361.txt: TO	 TO
eq362.txt: TO	 TO
eq363.txt: TO	 TO
eq364.txt: TO	 TO
eq365.txt: TO	 TO
eq366.txt: TO	 TO
eq367.txt: TO	 TO
eq368.txt: TO	 TO
eq369.txt: TO	 TO
eq37.txt: TO	 TO
eq370.txt: TO	 TO
eq371.txt: TO	 TO
eq372.txt: TO	 TO
eq373.txt: TO	 TO
eq374.txt: Sat	 5.66
eq375.txt: TO	 TO
eq376.txt: TO	 TO
eq377.txt: TO	 TO
eq378.txt: TO	 TO
eq379.txt: Sat	 5.69
eq38.txt: TO	 TO
eq380.txt: TO	 TO
eq381.txt: TO	 TO
eq382.txt: TO	 TO
eq383.txt: TO	 TO
eq384.txt: TO	 TO
eq385.txt: TO	 TO
eq386.txt: TO	 TO
eq387.txt: TO	 TO
eq388.txt: TO	 TO
eq389.txt: TO	 TO
eq39.txt: TO	 TO
eq390.txt: Sat	 3.53
eq391.txt: TO	 TO
eq392.txt: TO	 TO
eq393.txt: Sat	 3.73
eq394.txt: Sat	 5.53
eq395.txt: TO	 TO
eq396.txt: TO	 TO
eq397.txt: TO	 TO
eq398.txt: TO	 TO
eq399.txt: TO	 TO
eq4.txt: TO	 TO
eq40.txt: TO	 TO
eq400.txt: TO	 TO
eq401.txt: TO	 TO
eq402.txt: TO	 TO
eq403.txt: Sat	 3.52
eq404.txt: TO	 TO
eq405.txt: TO	 TO
eq406.txt: TO	 TO
eq407.txt: Sat	 5.79
eq408.txt: TO	 TO
eq409.txt: TO	 TO
eq41.txt: TO	 TO
eq410.txt: TO	 TO
eq411.txt: TO	 TO
eq412.txt: TO	 TO
eq413.txt: TO	 TO
eq414.txt: TO	 TO
eq415.txt: TO	 TO
eq416.txt: TO	 TO
eq417.txt: TO	 TO
eq418.txt: TO	 TO
eq419.txt: Sat	 5.79
eq42.txt: Sat	 3.56
eq420.txt: Sat	 5.69
eq421.txt: TO	 TO
eq422.txt: TO	 TO
eq423.txt: TO	 TO
eq424.txt: TO	 TO
eq425.txt: Sat	 5.9
eq426.txt: TO	 TO
eq427.txt: TO	 TO
eq428.txt: TO	 TO
eq429.txt: TO	 TO
eq43.txt: TO	 TO
eq430.txt: TO	 TO
eq431.txt: TO	 TO
eq432.txt: TO	 TO
eq433.txt: TO	 TO
eq434.txt: TO	 TO
eq435.txt: TO	 TO
eq436.txt: TO	 TO
eq437.txt: TO	 TO
eq438.txt: TO	 TO
eq439.txt: TO	 TO
eq44.txt: TO	 TO
eq440.txt: TO	 TO
eq441.txt: TO	 TO
eq442.txt: TO	 TO
eq443.txt: TO	 TO
eq444.txt: TO	 TO
eq445.txt: TO	 TO
eq446.txt: TO	 TO
eq447.txt: TO	 TO
eq448.txt: Sat	 5.87
eq449.txt: TO	 TO
eq45.txt: TO	 TO
eq450.txt: TO	 TO
eq451.txt: TO	 TO
eq452.txt: TO	 TO
eq453.txt: TO	 TO
eq454.txt: TO	 TO
eq455.txt: TO	 TO
eq456.txt: TO	 TO
eq457.txt: TO	 TO
eq458.txt: TO	 TO
eq459.txt: TO	 TO
eq46.txt: TO	 TO
eq460.txt: Sat	 5.63
eq461.txt: TO	 TO
eq462.txt: TO	 TO
eq463.txt: Sat	 5.71
eq464.txt: TO	 TO
eq465.txt: TO	 TO
eq466.txt: Sat	 5.62
eq467.txt: TO	 TO
eq468.txt: TO	 TO
eq469.txt: TO	 TO
eq47.txt: TO	 TO
eq470.txt: Sat	 5.67
eq471.txt: TO	 TO
eq472.txt: TO	 TO
eq473.txt: TO	 TO
eq474.txt: TO	 TO
eq475.txt: TO	 TO
eq476.txt: TO	 TO
eq477.txt: TO	 TO
eq478.txt: TO	 TO
eq479.txt: TO	 TO
eq48.txt: TO	 TO
eq480.txt: TO	 TO
eq481.txt: TO	 TO
eq482.txt: TO	 TO
eq483.txt: TO	 TO
eq484.txt: TO	 TO
eq485.txt: TO	 TO
eq486.txt: TO	 TO
eq487.txt: TO	 TO
eq488.txt: TO	 TO
eq489.txt: TO	 TO
eq49.txt: TO	 TO
eq490.txt: TO	 TO
eq491.txt: TO	 TO
eq492.txt: TO	 TO
eq493.txt: TO	 TO
eq494.txt: TO	 TO
eq495.txt: Sat	 5.85
eq496.txt: TO	 TO
eq497.txt: TO	 TO
eq498.txt: TO	 TO
eq499.txt: TO	 TO
eq5.txt: TO	 TO
eq50.txt: TO	 TO
eq500.txt: TO	 TO
eq501.txt: TO	 TO
eq502.txt: TO	 TO
eq503.txt: Sat	 5.77
eq504.txt: TO	 TO
eq505.txt: TO	 TO
eq506.txt: TO	 TO
eq507.txt: TO	 TO
eq508.txt: TO	 TO
eq509.txt: TO	 TO
eq51.txt: TO	 TO
eq510.txt: TO	 TO
eq511.txt: TO	 TO
eq512.txt: TO	 TO
eq513.txt: TO	 TO
eq514.txt: TO	 TO
eq515.txt: TO	 TO
eq516.txt: TO	 TO
eq517.txt: TO	 TO
eq518.txt: TO	 TO
eq519.txt: TO	 TO
eq52.txt: TO	 TO
eq520.txt: TO	 TO
eq521.txt: TO	 TO
eq522.txt: TO	 TO
eq523.txt: TO	 TO
eq524.txt: TO	 TO
eq525.txt: TO	 TO
eq526.txt: TO	 TO
eq527.txt: TO	 TO
eq528.txt: Sat	 5.62
eq529.txt: TO	 TO
eq53.txt: TO	 TO
eq530.txt: TO	 TO
eq531.txt: Sat	 3.5
eq532.txt: TO	 TO
eq533.txt: Sat	 5.62
eq534.txt: TO	 TO
eq535.txt: TO	 TO
eq536.txt: Sat	 5.64
eq537.txt: TO	 TO
eq538.txt: Sat	 5.66
eq539.txt: Sat	 5.65
eq54.txt: TO	 TO
eq540.txt: TO	 TO
eq541.txt: TO	 TO
eq542.txt: TO	 TO
eq543.txt: TO	 TO
eq544.txt: TO	 TO
eq545.txt: TO	 TO
eq546.txt: TO	 TO
eq547.txt: TO	 TO
eq548.txt: TO	 TO
eq549.txt: TO	 TO
eq55.txt: TO	 TO
eq550.txt: TO	 TO
eq551.txt: TO	 TO
eq552.txt: TO	 TO
eq553.txt: Sat	 3.49
eq554.txt: Sat	 5.81
eq555.txt: TO	 TO
eq556.txt: TO	 TO
eq557.txt: Sat	 5.67
eq558.txt: TO	 TO
eq559.txt: TO	 TO
eq56.txt: Sat	 5.56
eq560.txt: TO	 TO
eq561.txt: TO	 TO
eq562.txt: TO	 TO
eq563.txt: TO	 TO
eq564.txt: TO	 TO
eq565.txt: Sat	 5.65
eq566.txt: TO	 TO
eq567.txt: TO	 TO
eq568.txt: Sat	 5.68
eq569.txt: TO	 TO
eq57.txt: TO	 TO
eq570.txt: TO	 TO
eq571.txt: Sat	 5.81
eq572.txt: Sat	 5.63
eq573.txt: TO	 TO
eq574.txt: Sat	 5.85
eq575.txt: TO	 TO
eq576.txt: TO	 TO
eq577.txt: TO	 TO
eq578.txt: TO	 TO
eq579.txt: TO	 TO
eq58.txt: TO	 TO
eq580.txt: TO	 TO
eq581.txt: Sat	 5.55
eq582.txt: TO	 TO
eq583.txt: TO	 TO
eq584.txt: TO	 TO
eq585.txt: TO	 TO
eq586.txt: TO	 TO
eq587.txt: TO	 TO
eq588.txt: TO	 TO
eq589.txt: TO	 TO
eq59.txt: TO	 TO
eq590.txt: TO	 TO
eq591.txt: TO	 TO
eq592.txt: TO	 TO
eq593.txt: TO	 TO
eq594.txt: TO	 TO
eq595.txt: TO	 TO
eq596.txt: TO	 TO
eq597.txt: TO	 TO
eq598.txt: TO	 TO
eq599.txt: Sat	 5.64
eq6.txt: TO	 TO
eq60.txt: TO	 TO
eq600.txt: TO	 TO
eq601.txt: TO	 TO
eq602.txt: TO	 TO
eq603.txt: TO	 TO
eq604.txt: Sat	 5.65
