Timeout: 100
Number of formulas: 1000
Formula: time, sat
eq-test.txt: Sat	 0.52
eq247.txt: Sat	 47.42
eq248.txt: TO	 TO
eq249.txt: TO	 TO
eq25.txt: Sat	 59.12
eq250.txt: TO	 TO
eq251.txt: TO	 TO
eq252.txt: Sat	 2.49
eq253.txt: TO	 TO
eq254.txt: TO	 TO
eq255.txt: TO	 TO
eq256.txt: TO	 TO
eq257.txt: TO	 TO
eq258.txt: Sat	 59.12
eq259.txt: TO	 TO
eq26.txt: TO	 TO
eq260.txt: TO	 TO
eq261.txt: TO	 TO
eq262.txt: Sat	 2.46
eq263.txt: TO	 TO
eq264.txt: Sat	 1.91
eq265.txt: TO	 TO
eq266.txt: TO	 TO
eq267.txt: Sat	 59.95
eq268.txt: TO	 TO
eq269.txt: TO	 TO
eq27.txt: TO	 TO
eq270.txt: TO	 TO
eq271.txt: Sat	 55.74
eq272.txt: TO	 TO
eq273.txt: Sat	 57.43
eq274.txt: Sat	 59.13
eq275.txt: TO	 TO
eq276.txt: TO	 TO
eq277.txt: TO	 TO
eq278.txt: Sat	 58.45
eq279.txt: TO	 TO
eq28.txt: TO	 TO
eq280.txt: Sat	 59.29
eq281.txt: TO	 TO
eq282.txt: Sat	 59.0
eq283.txt: Sat	 40.17
eq284.txt: Sat	 2.46
eq285.txt: TO	 TO
eq286.txt: Sat	 1.86
eq287.txt: TO	 TO
eq288.txt: TO	 TO
eq289.txt: Sat	 47.36
eq29.txt: Sat	 46.45
eq290.txt: TO	 TO
eq291.txt: TO	 TO
eq292.txt: TO	 TO
eq293.txt: TO	 TO
eq294.txt: Sat	 59.35
eq295.txt: TO	 TO
eq296.txt: TO	 TO
eq297.txt: Sat	 58.52
eq298.txt: TO	 TO
eq299.txt: TO	 TO
eq3.txt: TO	 TO
eq30.txt: TO	 TO
eq300.txt: TO	 TO
eq301.txt: TO	 TO
eq302.txt: TO	 TO
eq303.txt: TO	 TO
eq304.txt: Sat	 54.23
eq305.txt: TO	 TO
eq306.txt: Sat	 58.94
eq307.txt: TO	 TO
eq308.txt: TO	 TO
eq309.txt: TO	 TO
eq31.txt: TO	 TO
eq310.txt: TO	 TO
eq311.txt: TO	 TO
eq312.txt: TO	 TO
eq313.txt: TO	 TO
eq314.txt: TO	 TO
eq315.txt: TO	 TO
eq316.txt: Sat	 2.49
eq317.txt: Sat	 57.33
eq318.txt: Sat	 59.08
eq319.txt: TO	 TO
eq32.txt: Sat	 56.06
eq320.txt: Sat	 58.86
eq321.txt: TO	 TO
eq322.txt: TO	 TO
eq323.txt: TO	 TO
eq324.txt: Sat	 60.19
eq325.txt: TO	 TO
eq326.txt: TO	 TO
eq327.txt: TO	 TO
eq328.txt: Sat	 2.36
eq329.txt: TO	 TO
eq33.txt: TO	 TO
eq330.txt: TO	 TO
eq331.txt: TO	 TO
eq332.txt: Sat	 2.47
eq333.txt: TO	 TO
eq334.txt: Sat	 58.33
eq335.txt: TO	 TO
eq336.txt: TO	 TO
eq337.txt: TO	 TO
eq338.txt: Sat	 58.8
eq339.txt: Sat	 2.54
eq34.txt: TO	 TO
eq340.txt: Sat	 2.49
eq341.txt: Sat	 2.47
eq342.txt: Sat	 60.54
eq343.txt: Sat	 1.86
eq344.txt: TO	 TO
eq345.txt: TO	 TO
eq346.txt: TO	 TO
eq347.txt: Sat	 57.33
eq348.txt: TO	 TO
eq349.txt: Sat	 58.75
eq35.txt: TO	 TO
eq350.txt: Sat	 1.75
eq351.txt: TO	 TO
eq352.txt: TO	 TO
eq353.txt: Sat	 2.47
eq354.txt: TO	 TO
eq355.txt: Sat	 58.76
eq356.txt: TO	 TO
eq357.txt: TO	 TO
eq358.txt: Sat	 2.34
eq359.txt: TO	 TO
eq36.txt: TO	 TO
eq360.txt: TO	 TO
eq361.txt: Sat	 60.51
eq362.txt: TO	 TO
eq363.txt: TO	 TO
eq364.txt: TO	 TO
eq365.txt: TO	 TO
eq366.txt: Sat	 58.88
eq367.txt: Sat	 46.14
eq368.txt: Sat	 58.72
eq369.txt: Sat	 54.84
eq37.txt: Sat	 60.23
eq370.txt: TO	 TO
eq371.txt: TO	 TO
eq372.txt: Sat	 58.86
eq373.txt: TO	 TO
eq374.txt: Sat	 2.47
eq375.txt: TO	 TO
eq376.txt: Sat	 56.25
eq377.txt: TO	 TO
eq378.txt: TO	 TO
eq379.txt: Sat	 2.58
eq38.txt: TO	 TO
eq380.txt: TO	 TO
eq381.txt: TO	 TO
eq382.txt: TO	 TO
eq383.txt: TO	 TO
eq384.txt: TO	 TO
eq385.txt: TO	 TO
eq386.txt: TO	 TO
eq387.txt: TO	 TO
eq388.txt: TO	 TO
eq389.txt: TO	 TO
eq39.txt: TO	 TO
eq390.txt: Sat	 1.9
eq391.txt: TO	 TO
eq392.txt: Sat	 56.29
eq393.txt: Sat	 1.78
eq394.txt: Sat	 2.47
eq395.txt: TO	 TO
eq396.txt: Sat	 57.37
eq397.txt: TO	 TO
eq398.txt: TO	 TO
eq399.txt: TO	 TO
eq4.txt: Sat	 59.96
eq40.txt: TO	 TO
eq400.txt: Sat	 58.84
eq401.txt: TO	 TO
eq402.txt: TO	 TO
eq403.txt: Sat	 1.75
eq404.txt: TO	 TO
eq405.txt: TO	 TO
eq406.txt: TO	 TO
eq407.txt: Sat	 2.52
eq408.txt: TO	 TO
eq409.txt: TO	 TO
eq41.txt: TO	 TO
eq410.txt: Sat	 54.44
eq411.txt: TO	 TO
eq412.txt: TO	 TO
eq413.txt: TO	 TO
eq414.txt: TO	 TO
eq415.txt: TO	 TO
eq416.txt: TO	 TO
eq417.txt: TO	 TO
eq418.txt: Sat	 59.78
eq419.txt: Sat	 2.45
eq42.txt: Sat	 1.94
eq420.txt: Sat	 2.49
eq421.txt: Sat	 60.75
eq422.txt: TO	 TO
eq423.txt: Sat	 56.17
eq424.txt: TO	 TO
eq425.txt: Sat	 2.55
eq426.txt: TO	 TO
eq427.txt: Sat	 59.58
eq428.txt: Sat	 45.51
eq429.txt: TO	 TO
eq43.txt: Sat	 45.58
eq430.txt: TO	 TO
eq431.txt: TO	 TO
eq432.txt: Sat	 46.81
eq433.txt: Sat	 58.92
eq434.txt: TO	 TO
eq435.txt: TO	 TO
eq436.txt: Sat	 59.52
eq437.txt: TO	 TO
eq438.txt: TO	 TO
eq439.txt: TO	 TO
eq44.txt: TO	 TO
eq440.txt: Sat	 58.58
eq441.txt: TO	 TO
eq442.txt: TO	 TO
eq443.txt: Sat	 54.25
eq444.txt: Sat	 58.45
eq445.txt: TO	 TO
eq446.txt: TO	 TO
eq447.txt: TO	 TO
eq448.txt: Sat	 2.37
eq449.txt: Sat	 62.05
eq45.txt: TO	 TO
eq450.txt: TO	 TO
eq451.txt: Sat	 54.28
eq452.txt: TO	 TO
eq453.txt: TO	 TO
eq454.txt: TO	 TO
eq455.txt: TO	 TO
eq456.txt: Sat	 54.27
eq457.txt: Sat	 55.73
eq458.txt: TO	 TO
eq459.txt: Sat	 60.1
eq46.txt: TO	 TO
eq460.txt: Sat	 2.57
eq461.txt: TO	 TO
eq462.txt: TO	 TO
eq463.txt: Sat	 2.35
eq464.txt: TO	 TO
eq465.txt: Sat	 60.21
eq466.txt: Sat	 2.47
eq467.txt: TO	 TO
eq468.txt: TO	 TO
eq469.txt: Sat	 58.87
eq47.txt: TO	 TO
eq470.txt: Sat	 2.49
eq471.txt: TO	 TO
eq472.txt: Sat	 58.38
eq473.txt: TO	 TO
eq474.txt: TO	 TO
eq475.txt: TO	 TO
eq476.txt: Sat	 54.11
eq477.txt: TO	 TO
eq478.txt: Sat	 54.35
eq479.txt: TO	 TO
eq48.txt: TO	 TO
eq480.txt: TO	 TO
eq481.txt: Sat	 59.82
eq482.txt: TO	 TO
eq483.txt: TO	 TO
eq484.txt: TO	 TO
eq485.txt: TO	 TO
eq486.txt: Sat	 53.88
eq487.txt: TO	 TO
eq488.txt: Sat	 60.38
eq489.txt: Sat	 58.66
eq49.txt: TO	 TO
eq490.txt: TO	 TO
eq491.txt: TO	 TO
eq492.txt: TO	 TO
eq493.txt: TO	 TO
eq494.txt: Sat	 58.8
eq495.txt: Sat	 2.54
eq496.txt: TO	 TO
eq497.txt: TO	 TO
eq498.txt: TO	 TO
eq499.txt: TO	 TO
eq5.txt: TO	 TO
eq50.txt: Sat	 59.8
eq500.txt: TO	 TO
eq501.txt: TO	 TO
eq502.txt: TO	 TO
eq503.txt: Sat	 2.58
eq504.txt: Sat	 58.61
eq505.txt: TO	 TO
eq506.txt: TO	 TO
eq507.txt: Sat	 59.65
eq508.txt: TO	 TO
eq509.txt: TO	 TO
eq51.txt: TO	 TO
eq510.txt: TO	 TO
eq511.txt: TO	 TO
eq512.txt: TO	 TO
eq513.txt: TO	 TO
eq514.txt: TO	 TO
eq515.txt: Sat	 47.67
eq516.txt: TO	 TO
eq517.txt: TO	 TO
eq518.txt: Sat	 45.85
eq519.txt: TO	 TO
eq52.txt: TO	 TO
eq520.txt: TO	 TO
eq521.txt: TO	 TO
eq522.txt: Sat	 58.81
eq523.txt: TO	 TO
eq524.txt: Sat	 39.7
eq525.txt: TO	 TO
eq526.txt: TO	 TO
eq527.txt: Sat	 57.99
eq528.txt: Sat	 2.37
eq529.txt: TO	 TO
eq53.txt: Sat	 58.47
eq530.txt: Sat	 45.6
eq531.txt: Sat	 1.87
eq532.txt: TO	 TO
eq533.txt: Sat	 2.5
eq534.txt: TO	 TO
eq535.txt: TO	 TO
eq536.txt: Sat	 2.5
eq537.txt: TO	 TO
eq538.txt: Sat	 2.37
eq539.txt: Sat	 2.49
eq54.txt: TO	 TO
eq540.txt: TO	 TO
eq541.txt: TO	 TO
eq542.txt: TO	 TO
eq543.txt: Sat	 60.38
eq544.txt: TO	 TO
eq545.txt: Sat	 59.14
eq546.txt: TO	 TO
eq547.txt: TO	 TO
eq548.txt: TO	 TO
eq549.txt: TO	 TO
eq55.txt: TO	 TO
eq550.txt: TO	 TO
eq551.txt: TO	 TO
eq552.txt: TO	 TO
eq553.txt: Sat	 1.84
eq554.txt: Sat	 2.51
eq555.txt: TO	 TO
eq556.txt: TO	 TO
eq557.txt: Sat	 2.5
eq558.txt: TO	 TO
eq559.txt: TO	 TO
eq56.txt: Sat	 2.81
eq560.txt: TO	 TO
eq561.txt: Sat	 61.51
eq562.txt: TO	 TO
eq563.txt: TO	 TO
eq564.txt: TO	 TO
eq565.txt: Sat	 2.57
eq566.txt: TO	 TO
eq567.txt: TO	 TO
eq568.txt: Sat	 2.71
eq569.txt: Sat	 12.54
eq57.txt: TO	 TO
eq570.txt: TO	 TO
eq571.txt: Sat	 2.47
eq572.txt: Sat	 2.47
eq573.txt: TO	 TO
eq574.txt: Sat	 2.34
eq575.txt: TO	 TO
eq576.txt: Sat	 59.26
eq577.txt: Sat	 58.52
eq578.txt: TO	 TO
eq579.txt: TO	 TO
eq58.txt: TO	 TO
eq580.txt: TO	 TO
eq581.txt: Sat	 2.46
eq582.txt: TO	 TO
eq583.txt: TO	 TO
eq584.txt: TO	 TO
eq585.txt: TO	 TO
eq586.txt: TO	 TO
eq587.txt: Sat	 46.17
eq588.txt: TO	 TO
eq589.txt: Sat	 58.64
eq59.txt: TO	 TO
eq590.txt: TO	 TO
eq591.txt: TO	 TO
eq592.txt: TO	 TO
eq593.txt: TO	 TO
eq594.txt: TO	 TO
eq595.txt: TO	 TO
eq596.txt: TO	 TO
eq597.txt: TO	 TO
eq598.txt: Sat	 57.57
eq599.txt: Sat	 2.54
eq6.txt: Sat	 60.14
eq60.txt: TO	 TO
eq600.txt: TO	 TO
eq601.txt: TO	 TO
eq602.txt: TO	 TO
eq603.txt: TO	 TO
eq604.txt: Sat	 2.45
eq605.txt: Sat	 57.64
eq606.txt: TO	 TO
eq607.txt: Sat	 59.96
eq608.txt: Sat	 58.93
eq609.txt: TO	 TO
eq61.txt: Sat	 58.98
eq610.txt: TO	 TO
eq611.txt: Sat	 57.72
eq612.txt: TO	 TO
eq613.txt: TO	 TO
eq614.txt: TO	 TO
eq615.txt: TO	 TO
eq616.txt: TO	 TO
eq617.txt: TO	 TO
eq618.txt: TO	 TO
eq619.txt: TO	 TO
eq62.txt: Sat	 54.54
eq620.txt: TO	 TO
eq621.txt: TO	 TO
eq622.txt: TO	 TO
eq623.txt: Sat	 2.46
eq624.txt: Sat	 59.38
eq625.txt: TO	 TO
eq626.txt: TO	 TO
eq627.txt: Sat	 2.46
eq628.txt: TO	 TO
eq629.txt: Sat	 2.4
eq63.txt: Sat	 1.85
eq630.txt: TO	 TO
eq631.txt: TO	 TO
eq632.txt: TO	 TO
eq633.txt: Sat	 2.46
eq634.txt: Sat	 2.35
eq635.txt: Sat	 60.49
eq636.txt: Sat	 58.51
eq637.txt: TO	 TO
eq638.txt: TO	 TO
eq639.txt: TO	 TO
eq64.txt: TO	 TO
eq640.txt: Sat	 2.48
eq641.txt: TO	 TO
eq642.txt: Sat	 2.52
eq643.txt: TO	 TO
eq644.txt: TO	 TO
eq645.txt: TO	 TO
eq646.txt: Sat	 59.57
eq647.txt: TO	 TO
eq648.txt: TO	 TO
eq649.txt: Sat	 59.53
eq65.txt: Sat	 54.06
eq650.txt: Sat	 2.56
eq651.txt: TO	 TO
eq652.txt: TO	 TO
eq653.txt: TO	 TO
eq654.txt: Sat	 2.45
eq655.txt: TO	 TO
eq656.txt: TO	 TO
eq657.txt: TO	 TO
eq658.txt: TO	 TO
eq659.txt: TO	 TO
eq66.txt: TO	 TO
eq660.txt: Sat	 38.45
eq661.txt: Sat	 2.5
eq662.txt: TO	 TO
eq663.txt: Sat	 58.5
eq664.txt: TO	 TO
eq665.txt: Sat	 58.52
eq666.txt: TO	 TO
eq667.txt: TO	 TO
eq668.txt: Sat	 58.8
eq669.txt: Sat	 61.22
eq67.txt: TO	 TO
eq670.txt: TO	 TO
eq671.txt: Sat	 2.36
eq672.txt: TO	 TO
eq673.txt: Sat	 54.23
eq674.txt: Sat	 2.54
eq675.txt: Sat	 58.93
eq676.txt: Sat	 54.53
eq677.txt: TO	 TO
eq678.txt: TO	 TO
eq679.txt: Sat	 59.0
eq68.txt: TO	 TO
eq680.txt: TO	 TO
eq681.txt: TO	 TO
eq682.txt: TO	 TO
eq683.txt: TO	 TO
eq684.txt: Sat	 58.73
eq685.txt: Sat	 1.78
eq686.txt: Sat	 2.5
eq687.txt: Sat	 58.44
eq688.txt: TO	 TO
eq689.txt: TO	 TO
eq69.txt: TO	 TO
eq690.txt: Sat	 58.41
eq691.txt: Sat	 1.77
eq692.txt: Sat	 58.44
eq693.txt: TO	 TO
eq694.txt: TO	 TO
eq695.txt: TO	 TO
eq696.txt: TO	 TO
eq697.txt: Sat	 60.41
eq698.txt: Sat	 2.46
eq699.txt: TO	 TO
eq7.txt: Sat	 2.46
eq70.txt: Sat	 59.89
eq700.txt: TO	 TO
eq701.txt: TO	 TO
eq702.txt: TO	 TO
eq703.txt: TO	 TO
eq704.txt: TO	 TO
eq705.txt: TO	 TO
eq706.txt: TO	 TO
eq707.txt: TO	 TO
eq708.txt: Sat	 2.58
eq709.txt: TO	 TO
eq71.txt: Sat	 2.53
eq710.txt: TO	 TO
eq711.txt: TO	 TO
eq712.txt: TO	 TO
eq713.txt: Sat	 1.8
eq714.txt: Sat	 2.48
eq715.txt: TO	 TO
eq716.txt: TO	 TO
eq717.txt: Sat	 2.48
eq718.txt: TO	 TO
eq719.txt: TO	 TO
eq72.txt: TO	 TO
eq720.txt: Sat	 58.46
eq721.txt: TO	 TO
eq722.txt: TO	 TO
eq723.txt: TO	 TO
eq724.txt: Sat	 58.57
eq725.txt: TO	 TO
eq726.txt: TO	 TO
eq727.txt: TO	 TO
eq728.txt: TO	 TO
eq729.txt: Sat	 58.93
eq73.txt: TO	 TO
eq730.txt: Sat	 59.01
eq731.txt: TO	 TO
eq732.txt: TO	 TO
eq733.txt: Sat	 2.47
eq734.txt: TO	 TO
eq735.txt: Sat	 58.38
eq736.txt: Sat	 45.87
eq737.txt: TO	 TO
eq738.txt: Sat	 59.6
eq739.txt: TO	 TO
eq74.txt: TO	 TO
eq740.txt: TO	 TO
eq741.txt: TO	 TO
eq742.txt: TO	 TO
eq743.txt: Sat	 46.15
eq744.txt: TO	 TO
eq745.txt: TO	 TO
eq746.txt: Sat	 1.75
eq747.txt: TO	 TO
eq748.txt: TO	 TO
eq749.txt: TO	 TO
eq75.txt: Sat	 46.8
eq750.txt: TO	 TO
eq751.txt: TO	 TO
eq752.txt: Sat	 1.79
eq753.txt: TO	 TO
eq754.txt: TO	 TO
eq755.txt: Sat	 60.93
eq756.txt: Sat	 58.72
eq757.txt: Sat	 55.44
eq758.txt: TO	 TO
eq759.txt: TO	 TO
eq76.txt: TO	 TO
eq760.txt: Sat	 59.15
eq761.txt: TO	 TO
eq762.txt: Sat	 39.65
eq763.txt: TO	 TO
eq764.txt: TO	 TO
eq765.txt: Sat	 58.17
eq766.txt: TO	 TO
eq767.txt: TO	 TO
eq768.txt: Sat	 60.11
eq769.txt: TO	 TO
eq77.txt: Sat	 58.74
eq770.txt: Sat	 2.56
eq771.txt: TO	 TO
eq772.txt: TO	 TO
eq773.txt: TO	 TO
eq774.txt: TO	 TO
eq775.txt: Sat	 59.2
eq776.txt: TO	 TO
eq777.txt: Sat	 1.86
eq778.txt: Sat	 2.38
eq779.txt: TO	 TO
eq78.txt: Sat	 2.47
eq780.txt: TO	 TO
eq781.txt: Sat	 58.65
eq782.txt: TO	 TO
eq783.txt: Sat	 59.96
eq784.txt: Sat	 2.47
eq785.txt: Sat	 58.88
eq786.txt: TO	 TO
eq787.txt: Sat	 53.92
eq788.txt: Sat	 2.54
eq789.txt: Sat	 2.47
eq79.txt: Sat	 58.28
eq790.txt: Sat	 59.21
eq791.txt: TO	 TO
eq792.txt: Sat	 2.56
eq793.txt: TO	 TO
eq794.txt: TO	 TO
eq795.txt: TO	 TO
eq796.txt: Sat	 39.65
eq797.txt: TO	 TO
eq798.txt: TO	 TO
eq799.txt: TO	 TO
eq8.txt: TO	 TO
eq80.txt: TO	 TO
eq800.txt: TO	 TO
eq801.txt: TO	 TO
eq802.txt: TO	 TO
eq803.txt: TO	 TO
eq804.txt: TO	 TO
eq805.txt: TO	 TO
eq806.txt: TO	 TO
eq807.txt: TO	 TO
eq808.txt: Sat	 1.94
eq809.txt: TO	 TO
eq81.txt: TO	 TO
eq810.txt: TO	 TO
eq811.txt: TO	 TO
eq812.txt: TO	 TO
eq813.txt: Sat	 59.08
eq814.txt: TO	 TO
eq815.txt: TO	 TO
eq816.txt: TO	 TO
eq817.txt: Sat	 60.55
eq818.txt: TO	 TO
eq819.txt: Sat	 60.13
eq82.txt: Sat	 2.48
eq820.txt: TO	 TO
eq821.txt: TO	 TO
eq822.txt: TO	 TO
eq823.txt: Sat	 45.37
eq824.txt: TO	 TO
eq825.txt: Sat	 54.11
eq826.txt: Sat	 2.36
eq827.txt: Sat	 1.9
eq828.txt: Sat	 2.47
eq829.txt: Sat	 57.62
eq83.txt: TO	 TO
eq830.txt: TO	 TO
eq831.txt: TO	 TO
eq832.txt: TO	 TO
eq833.txt: TO	 TO
eq834.txt: Sat	 2.34
eq835.txt: TO	 TO
eq836.txt: Sat	 59.48
eq837.txt: Sat	 59.35
eq838.txt: TO	 TO
eq839.txt: Sat	 60.31
eq84.txt: TO	 TO
eq840.txt: TO	 TO
eq841.txt: TO	 TO
eq842.txt: TO	 TO
eq843.txt: TO	 TO
eq844.txt: Sat	 2.35
eq845.txt: TO	 TO
eq846.txt: Sat	 59.34
eq847.txt: TO	 TO
eq848.txt: TO	 TO
eq849.txt: Sat	 53.92
eq85.txt: TO	 TO
eq850.txt: TO	 TO
eq851.txt: Sat	 61.0
eq852.txt: Sat	 2.48
eq853.txt: Sat	 60.74
eq854.txt: TO	 TO
eq855.txt: TO	 TO
eq856.txt: TO	 TO
eq857.txt: Sat	 2.36
eq858.txt: TO	 TO
eq859.txt: TO	 TO
eq86.txt: TO	 TO
eq860.txt: TO	 TO
eq861.txt: TO	 TO
eq862.txt: TO	 TO
eq863.txt: Sat	 58.88
eq864.txt: TO	 TO
eq865.txt: TO	 TO
eq866.txt: TO	 TO
eq867.txt: TO	 TO
eq868.txt: Sat	 2.47
eq869.txt: TO	 TO
eq87.txt: TO	 TO
eq870.txt: TO	 TO
eq871.txt: TO	 TO
eq872.txt: Sat	 59.28
eq873.txt: TO	 TO
eq874.txt: TO	 TO
eq875.txt: TO	 TO
eq876.txt: TO	 TO
eq877.txt: Sat	 45.8
eq878.txt: TO	 TO
eq879.txt: TO	 TO
eq88.txt: Sat	 58.57
eq880.txt: TO	 TO
eq881.txt: TO	 TO
eq882.txt: Sat	 57.8
eq883.txt: TO	 TO
eq884.txt: TO	 TO
eq885.txt: Sat	 57.22
eq886.txt: TO	 TO
eq887.txt: TO	 TO
eq888.txt: TO	 TO
eq889.txt: TO	 TO
eq89.txt: TO	 TO
eq890.txt: TO	 TO
eq891.txt: TO	 TO
eq892.txt: Sat	 58.87
eq893.txt: TO	 TO
eq894.txt: Sat	 57.56
eq895.txt: TO	 TO
eq896.txt: TO	 TO
eq897.txt: TO	 TO
eq9.txt: Sat	 60.63
eq90.txt: TO	 TO
eq91.txt: TO	 TO
eq92.txt: TO	 TO
eq93.txt: Sat	 60.38
eq94.txt: Sat	 58.97
eq95.txt: TO	 TO
eq96.txt: Sat	 54.79
eq97.txt: TO	 TO
eq98.txt: TO	 TO
eq99.txt: Sat	 58.89
