#Timeout: 10
#Number of formulas: 1000
Formula;sat;time;aux
quad-002-1-unsat.smt2;unsat;0.09;
quad-003-2-sat.smt2;sat;0.1;True
quad-004-2-unsat.smt2;unsat;0.11;
quad-005-2-sat.smt2;sat;0.24;True
quad-006-2-unsat.smt2;unsat;0.24;
quad-007-2-sat.smt2;sat;0.3;True
quad-008-2-unsat.smt2;unsat;0.3;
quad-009-2-sat.smt2;sat;0.24;True
quad-010-2-unsat.smt2;unsat;0.24;
quad-011-2-sat.smt2;sat;0.4;True
quad-012-2-unsat.smt2;unsat;0.28;
quad-013-2-2-sat.smt2;sat;0.48;True
quad-014-2-2-unsat.smt2;unsat;0.38;
quad-015-2-3-sat.smt2;sat;0.47;True
quad-016-2-3-unsat.smt2;unsat;0.32;
quad-017-2-4-sat.smt2;sat;0.48;True
quad-018-2-4-unsat.smt2;unsat;0.39;
quad-019-2-4-sat.smt2;sat;0.48;True
quad-020-2-4-unsat.smt2;unsat;0.4;
quad-021-3-sat.smt2;TO;TO;TO
quad-022-3-unsat.smt2;unsat;0.12;
quad-023-3-sat.smt2;sat;0.31;True
quad-024-3-unsat.smt2;unsat;0.3;
quad-025-2-2-sat.smt2;sat;0.16;True
quad-026-2-2-unsat.smt2;unsat;0.74;
quad-027-2-2-sat.smt2;sat;0.26;True
quad-028-2-2-unsat.smt2;unsat;0.13;
quad-029-3-1-sat.smt2;sat;1.18;True
quad-030-3-1-unsat.smt2;unsat;0.5;
quad-031-3-1-sat.smt2;sat;0.21;True
quad-032-3-1-unsat.smt2;unsat;0.29;
quad-033-3-2-sat.smt2;sat;0.25;True
quad-034-3-2-unsat.smt2;unsat;0.33;
quad-035-3-2-sat.smt2;TO;TO;TO
quad-036-3-2-unsat.smt2;unsat;0.49;
quad-037-3-2-sat.smt2;TO;TO;TO
quad-038-3-2-unsat.smt2;unsat;0.1;
quad-039-3-3-sat.smt2;TO;TO;TO
quad-040-3-3-unsat.smt2;unsat;0.51;
quad-041-3-4-sat.smt2;sat;0.53;True
quad-042-3-4-unsat.smt2;unsat;0.37;
quad-043-3-5-sat.smt2;sat;0.53;True
quad-044-3-5-unsat.smt2;unsat;0.52;
quad-045-3-6-sat.smt2;sat;0.53;True
quad-046-3-6-unsat.smt2;unsat;0.08;
quad-047-3-7-sat.smt2;sat;0.53;True
quad-048-3-7-unsat.smt2;unsat;0.51;
quad-049-3-7-sat.smt2;sat;0.54;True
quad-050-3-7-unsat.smt2;unsat;0.5;
quad-051-3-7-sat.smt2;sat;0.54;True
quad-052-3-7-unsat.smt2;unsat;0.51;
quad-053-3-7-sat.smt2;sat;0.53;True
quad-054-3-7-unsat.smt2;unsat;0.46;
quad-055-3-7-sat.smt2;sat;0.53;True
quad-056-3-7-unsat.smt2;unsat;0.5;
quad-057-3-7-sat.smt2;sat;0.45;True
quad-058-3-7-unsat.smt2;unsat;0.37;
quad-059-3-7-sat.smt2;sat;0.45;True
quad-060-3-7-unsat.smt2;unsat;0.51;
quad-061-4-0-sat.smt2;TO;TO;TO
quad-062-4-0-unsat.smt2;unsat;0.14;
quad-063-4-0-sat.smt2;sat;0.46;True
quad-064-4-0-unsat.smt2;unsat;0.61;
quad-065-4-1-sat.smt2;sat;0.46;True
quad-066-4-1-unsat.smt2;unsat;0.08;
quad-067-4-1-sat.smt2;sat;0.46;True
quad-068-4-1-unsat.smt2;unsat;0.38;
quad-069-4-1-sat.smt2;sat;0.47;True
quad-070-4-1-unsat.smt2;unsat;0.63;
quad-071-4-1-sat.smt2;sat;0.43;True
quad-072-4-1-unsat.smt2;unsat;0.1;
