#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
quad-122-4-0-unsat.smt2; TO          ;	 TO
quad-123-4-1-sat.smt2; TO            ;	 TO
quad-124-4-1-unsat.smt2; TO          ;	 TO
quad-125-4-1-sat.smt2; TO            ;	 TO
quad-126-4-1-unsat.smt2; TO          ;	 TO
quad-127-4-1-sat.smt2; TO            ;	 TO
quad-128-4-1-unsat.smt2; TO          ;	 TO
quad-129-4-1-sat.smt2; TO            ;	 TO
quad-130-4-1-unsat.smt2; TO          ;	 TO
quad-131-4-2-sat.smt2; TO            ;	 TO
quad-132-4-2-unsat.smt2; TO          ;	 TO
quad-133-4-2-sat.smt2; TO            ;	 TO
quad-134-4-2-unsat.smt2; TO          ;	 TO
quad-135-4-2-sat.smt2; sat           ;	 0.05
quad-136-4-2-unsat.smt2; TO          ;	 TO
quad-137-4-2-sat.smt2; TO            ;	 TO
quad-138-4-2-unsat.smt2; TO          ;	 TO
quad-139-4-2-sat.smt2; TO            ;	 TO
quad-140-4-2-unsat.smt2; TO          ;	 TO
quad-141-4-3-sat.smt2; TO            ;	 TO
quad-142-4-3-unsat.smt2; TO          ;	 TO
quad-143-4-3-sat.smt2; TO            ;	 TO
quad-144-4-3-unsat.smt2; TO          ;	 TO
quad-145-4-3-sat.smt2; sat           ;	 0.05
quad-146-4-3-unsat.smt2; unsat       ;	 0.03
quad-147-4-3-sat.smt2; TO            ;	 TO
quad-148-4-3-unsat.smt2; TO          ;	 TO
quad-149-4-3-sat.smt2; TO            ;	 TO
quad-150-4-3-unsat.smt2; TO          ;	 TO
quad-151-4-3-sat.smt2; sat           ;	 0.06
quad-152-4-3-unsat.smt2; TO          ;	 TO
quad-153-4-4-sat.smt2; TO            ;	 TO
quad-154-4-4-unsat.smt2; TO          ;	 TO
quad-155-4-4-sat.smt2; TO            ;	 TO
quad-156-4-4-unsat.smt2; TO          ;	 TO
quad-157-4-4-sat.smt2; TO            ;	 TO
quad-158-4-4-unsat.smt2; TO          ;	 TO
quad-159-4-4-sat.smt2; TO            ;	 TO
quad-160-4-4-unsat.smt2; TO          ;	 TO
quad-161-4-0-sat.smt2; TO            ;	 TO
quad-162-4-0-unsat.smt2; TO          ;	 TO
quad-163-4-1-sat.smt2; TO            ;	 TO
quad-164-4-1-unsat.smt2; TO          ;	 TO
quad-165-4-1-sat.smt2; TO            ;	 TO
quad-166-4-1-unsat.smt2; TO          ;	 TO
quad-167-4-2-sat.smt2; TO            ;	 TO
quad-168-4-2-unsat.smt2; TO          ;	 TO
quad-169-4-2-sat.smt2; TO            ;	 TO
quad-170-4-2-unsat.smt2; TO          ;	 TO
quad-171-4-2-sat.smt2; TO            ;	 TO
quad-172-4-2-unsat.smt2; unsat       ;	 0.02
quad-173-4-2-sat.smt2; sat           ;	 0.19
quad-174-4-2-unsat.smt2; TO          ;	 TO
quad-175-4-3-sat.smt2; TO            ;	 TO
quad-176-4-3-unsat.smt2; TO          ;	 TO
quad-177-4-3-sat.smt2; TO            ;	 TO
quad-178-4-3-unsat.smt2; TO          ;	 TO
quad-179-4-3-sat.smt2; TO            ;	 TO
quad-180-4-3-unsat.smt2; TO          ;	 TO
quad-181-4-2-sat.smt2; TO            ;	 TO
quad-182-4-2-unsat.smt2; TO          ;	 TO
quad-183-4-3-sat.smt2; TO            ;	 TO
quad-184-4-3-unsat.smt2; TO          ;	 TO
quad-185-4-4-sat.smt2; TO            ;	 TO
quad-186-4-4-unsat.smt2; TO          ;	 TO
quad-187-4-4-sat.smt2; TO            ;	 TO
quad-188-4-4-unsat.smt2; TO          ;	 TO
quad-189-4-4-sat.smt2; TO            ;	 TO
quad-190-4-4-unsat.smt2; TO          ;	 TO
quad-191-4-1-sat.smt2; TO            ;	 TO
quad-192-4-1-unsat.smt2; TO          ;	 TO
quad-193-4-2-sat.smt2; TO            ;	 TO
quad-194-4-2-unsat.smt2; TO          ;	 TO
quad-195-4-1-sat.smt2; TO            ;	 TO
quad-196-4-1-unsat.smt2; TO          ;	 TO
quad-197-4-2-sat.smt2; sat           ;	 0.02
quad-198-4-2-unsat.smt2; TO          ;	 TO
quad-199-4-1-sat.smt2; TO            ;	 TO
quad-200-4-1-unsat.smt2; TO          ;	 TO
quad-201-4-2-sat.smt2; TO            ;	 TO
quad-202-4-2-unsat.smt2; TO          ;	 TO
quad-203-4-2-sat.smt2; TO            ;	 TO
quad-204-4-2-unsat.smt2; TO          ;	 TO
quad-205-4-3-sat.smt2; TO            ;	 TO
quad-206-4-3-unsat.smt2; TO          ;	 TO
quad-207-4-4-sat.smt2; TO            ;	 TO
quad-208-4-4-unsat.smt2; TO          ;	 TO
quad-209-4-5-sat.smt2; TO            ;	 TO
quad-210-4-5-unsat.smt2; TO          ;	 TO
quad-211-5-0-sat.smt2; TO            ;	 TO
quad-212-5-0-unsat.smt2; TO          ;	 TO
quad-213-5-1-sat.smt2; TO            ;	 TO
quad-214-5-1-unsat.smt2; TO          ;	 TO
quad-215-5-1-sat.smt2; TO            ;	 TO
quad-216-5-1-unsat.smt2; TO          ;	 TO
quad-217-5-2-sat.smt2; TO            ;	 TO
quad-218-5-2-unsat.smt2; TO          ;	 TO
quad-219-5-2-sat.smt2; TO            ;	 TO
quad-220-5-2-unsat.smt2; TO          ;	 TO
quad-221-5-3-sat.smt2; TO            ;	 TO
quad-222-5-3-unsat.smt2; TO          ;	 TO
quad-223-5-4-sat.smt2; TO            ;	 TO
